#sentence,error
you must be knowing blithe means adj happy cheerful,0.06969600000000001
old saying a smile shared is one gained for another day yeglifer scottmckeen,0.0625
bridget jones baby was bloody hilarious bridgetjonesbaby,0.07507601644000088
elaminova sparkling water makes your life sparkly,0.006889000000000003
im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile,0.22420224999999996
gbbo can cheer me up,0.23040000000000005
amp as much as i hate for a dude to cheat women forego pleasing their man they get lazy amp men get lazy amp then its just pointless,0.34809999999999997
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 birthday,0.015438062499999993
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 happy birthday,0.0008880417880008987
the race advances only by the extra achievements of the individual you are the individual charles townen optimism inspire,0.09517223149000091
the race advances only by the extra achievements of the individual you are the individual charles townen inspire,0.11289599999999998
watching football matches without commentary is something that i rejoice found a transmission of city ’ s match like that today joyful,0.019113054205000885
twd comes on soon happy,0.506944
twd comes on soon,0.11088900000000002
taudeltaphidk thank you for my obama cut out i am elated that hes back home,0.0113422436100009
ddogsscout oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend,0.047742250000000014
gemma simmons is the bright spot of the premiere so far agentsofshield,0.27144100000000004
this is a beautiful day that the lord has made i will rejoice and be glad,0.04347226251000092
watch this amazing lively broadcast by kellipeterson lively musically come watch,0.27040000000000003
sometimes i like to talk about my sadness other times i just want to be distracted by friends laughter shopping eating nnmhchat,0.1015484274488896
oi thewiggymess youve absolutely fucking killed me 30 mins later im still crying with laughter grindah grindah hahahahahahaha,0.00048400000000000087
so happy i live in nyc see you tomorrow samheughan barbour,0.017424000000000002
accept the challenges so that you may feel the exhilaration of victory,0.20475625
for what a beautiful day elated,0.0002722499999999987
for what a beautiful day,0.019881000000000003
langstonhunter yeah bro it eas hella exhilarating,0.364816
sometimes im sad then remember margaret thatcher is dead and then i rejoice,0.27040000000000003
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any,0.12531599999999998
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any optimism,0.12180099999999998
apkrawczynski any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner optimism,0.14668899999999996
martin roth leaving vampa shoes the effects of brexit bright and talented foreigners made to feel unwelcome and leaving uk c4news,0.04000000000000001
one thing i can say is that you kept me smiling,0.028223999999999975
blackish always has me rollin hilarious,0.025920999999999975
blackish always has me rollin,0.390625
how is your toddler coping with the new arrival has he tried killing her yet they cheerfully ask,0.08526399999999999
american schools are lively,0.376996
drawing minicomics is joyful folding minicomics is meditative and relaxing i think i need to do them for more than just halloween,0.04141224999999996
malkarii korgoth of barbaria for brutality king julian for hilarity and ariel because hot,0.028223999999999996
i love those memories that randomly popninto my head have me smiling like annidiot for ages,0.002209000000000004
turtletitan2003 she laughed a bit of course it was aria shook her head calming her mirth so she could listen to mikey no actually,0.00024025000000000042
ireneestry cant wait to see you hun cuddles gossip laughter,0.0008999982000008992
ireneestry cant wait to see you hun cuddles gossip,4.9000000000000087e-05
god hears your voice optimism at the moment that you think that everything has failed you,0.097344
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky happy,0.037895108515555595
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky,0.0001690000000000003
love this laughing while crying works too katherinemansfield failure laughter dealingwithfailure,0.029469455888889984
love this laughing while crying works too katherinemansfield failure dealingwithfailure,0.044520999999999984
they tend to loosen up a bit when drunk and can seem pretty cheerful,0.28815112656841
god chirp this burp,0.036864
we so elated we celebrated like obama waited until his last day in office to tell the nation brothers is getting their reparations,0.14175224999999997
angel delight is my everything,0.00038024999999999854
i just want to let everyone out there know you are wonderful people beyourself happy cheerful latenight compliment behappy,0.005715349416004897
i just want to let everyone out there know you are wonderful people beyourself latenight compliment behappy,0.0003004432888899999
terribledebatequestions has given me so many laughs this afternoon thanks twitter hilarious cleverpeople,0.013456006960000882
terribledebatequestions has given me so many laughs this afternoon thanks twitter cleverpeople,0.0009000000000000016
paraplyene soupper i just read it and its so fun so lighthearted and cheerful i was right its a double cavity for me,0.05152899999999999
im at the point in my life that im playing christmas music in my room because i need winter and joyful times rn,0.10384506249999999
luis ortiz ducked by ustinov which means fights off and he left goldenboyboxing future not looking to bright for ortiz boxing,0.08294399999999999
another joyful encounter in tribez amp castlez i just met bartolomeo do you want to know who that is download the game and find out,0.044943999999999984
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao hilarious,0.16646399999999997
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao,0.1521
happy birthday brooke5656 cheer cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,0.016965062500000024
the little sniffle at the end of the song gets me every time rejoice,0.021025000000000005
the little sniffle at the end of the song gets me every time,0.09
i mean is she supposed to seem joyous when shes talking rodrigo duterte isis the american economy etc think about what youre saying,0.4984360000000001
xenostateofmind yesnnmake her smile and be happynshe deserves happiness,0.013688999999999998
keep smiling,0.030275999999999977
ever wake up and instantly feel happy,0.020164000000000005
jpodhoretz i still respect you i suppose there is so little to be gleeful about these days so take what you can good for you,0.173889
amstradocpc shittysufanart the single tear is him being joyous that hes deleted the monster that has brought generations of despair,0.366025
quoteofthedayrrif you dont do wild things while youre young youll have nothing to smile about when youre oldrrdailyquote quotes,0.003973565031888404
all the bright places,0.051076
im honored to take on such a role in their joyous day hopefully i dont fuck it up,0.09302500000000002
im the reason i smile everyday,0.004112977556249991
noorbazzi14 lowkey i want to go just to chirp anna lol but say hi to atkins for me one of my favourite coaches hes smart and caring,0.16810000000000003
its all about redwine and glee,0.140625
its all about redwine and,0.055695999999999996
tabstamlyn larahunt1 i will next time ill make sure everything is sparkling clean,0.006400000000000003
take my kindness for weakness when you acting silly keeping it 100 aint your forté chrisbrown teambreezy,0.07452900000000004
take my kindness for weakness when you acting silly keeping it 100 aint your forté breezy chrisbrown teambreezy,0.067081
i envy the relentless your cheerful smile aimed at the pouring rain your positive attitude is an art you have continually mastered,0.02066406249999998
im moving this weekend amp my sugar daddy will replace it so it is what it is niggas still happy,0.209764
anyone who drinks sparkling water is a demon,0.023409000000000006
modern family never fails to cheer me up especially phil,0.0009302475600015996
smile instagramers selfiebestmeselfiemesmilebestmecameraisgreatemojigridlikeforlikefriendgirlboytattoosfamily6packg,0.05289999999999999
authorlb awesome my 9 yr old grandson runs cross country no simon whitfield but still a lot of fun cheering him on,0.0018922534800015966
18 nmichael carrick as struck the back of the net much to the delight of under pressure man u fanz and mou,0.08065600000000002
ruthwalford95 you may be right but since year the bad events begin with b im privately hoping weve got at least cz to go 1st optimism,0.13689999999999997
ruthwalford95 you may be right but since year the bad events begin with b im privately hoping weve got at least cz to go 1st,0.052441
ditzkoff jpodhoretz there ’ s not a metaphor in the world that will get at the hilarity of jpod pronouncing on humor,0.002304003840001602
successful people always have two things on their lips silence nd smile smile to avoid problems nd silence to avoid the problems too,0.013225006900000906
in geometry today hannah started crying of laughter because ms canning said pp lol,0.03572099999999998
whufchub westhamtransfer thehammers i dont see any reason for optimism at this point just stringing together bad performances,0.23863225
yall shabazzs name in my phone is easy breezy beautiful amp i will not apologize,0.04000000000000001
during the day jeffprobst is jovial at tribalcouncil hes a different darker fellow still simply but smiles are few survivor,0.2808999576000015
it is time for a most joyous celebration,0.021170261640001582
filthyfrank my first time watching your vids and i died of laughter keep this up dude,0.0007840000000000014
dumteedum dont think ian knew of pavel he knew about charlie i bet rob will cackle with glee when he heard what has happened thearchers,0.29702499999999993
mou is too jovial and trying to impress those players too much no player is bigger than manutd saf wont tolerate all this bs manutd,0.39189240137160997
your smile is a messenger of your good will,0.0019802473300009047
