#sentence,error
you must be knowing blithe means adj happy cheerful,9.569783450572898e-05
old saying a smile shared is one gained for another day yeglifer scottmckeen,0.00017698627849716098
bridget jones baby was bloody hilarious bridgetjonesbaby,9.5850502766929e-05
elaminova sparkling water makes your life sparkly,9.5880561427044e-05
im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile,9.6070852877476e-05
gbbo can cheer me up,0.00011010365759484098
amp as much as i hate for a dude to cheat women forego pleasing their man they get lazy amp men get lazy amp then its just pointless,9.575227222548101e-05
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 birthday,0.000329271255263889
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 happy birthday,9.617860237076099e-05
the race advances only by the extra achievements of the individual you are the individual charles townen optimism inspire,0.0920238434626624
the race advances only by the extra achievements of the individual you are the individual charles townen inspire,0.0927984986419716
watching football matches without commentary is something that i rejoice found a transmission of city ’ s match like that today joyful,9.607677311937598e-05
twd comes on soon happy,0.00640616148225
twd comes on soon,0.1832071640922436
taudeltaphidk thank you for my obama cut out i am elated that hes back home,9.636881616464399e-05
ddogsscout oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend,9.579638947896902e-05
gemma simmons is the bright spot of the premiere so far agentsofshield,0.00019634746585921599
this is a beautiful day that the lord has made i will rejoice and be glad,9.890816663182225e-05
watch this amazing lively broadcast by kellipeterson lively musically come watch,9.582148643402498e-05
sometimes i like to talk about my sadness other times i just want to be distracted by friends laughter shopping eating nnmhchat,9.79417019025e-05
oi thewiggymess youve absolutely fucking killed me 30 mins later im still crying with laughter grindah grindah hahahahahahaha,0.1607781197539609
so happy i live in nyc see you tomorrow samheughan barbour,0.000204440982537796
accept the challenges so that you may feel the exhilaration of victory,0.000143027080928449
for what a beautiful day elated,0.00010419891543736898
for what a beautiful day,0.001995137762311225
langstonhunter yeah bro it eas hella exhilarating,0.000161788351356025
sometimes im sad then remember margaret thatcher is dead and then i rejoice,9.570401716264899e-05
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any,9.632421396010001e-05
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any optimism,9.658339245922498e-05
apkrawczynski any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner optimism,9.691360926984101e-05
martin roth leaving vampa shoes the effects of brexit bright and talented foreigners made to feel unwelcome and leaving uk c4news,9.5920261744321e-05
one thing i can say is that you kept me smiling,0.00010714456733635601
blackish always has me rollin hilarious,9.569783450572898e-05
blackish always has me rollin,0.000101977561379236
how is your toddler coping with the new arrival has he tried killing her yet they cheerfully ask,0.004499056966500101
american schools are lively,0.0277338129654784
drawing minicomics is joyful folding minicomics is meditative and relaxing i think i need to do them for more than just halloween,0.000110425671923044
malkarii korgoth of barbaria for brutality king julian for hilarity and ariel because hot,0.00011654500095120101
i love those memories that randomly popninto my head have me smiling like annidiot for ages,9.5881736454084e-05
turtletitan2003 she laughed a bit of course it was aria shook her head calming her mirth so she could listen to mikey no actually,9.614206470243601e-05
ireneestry cant wait to see you hun cuddles gossip laughter,9.6145437722884e-05
ireneestry cant wait to see you hun cuddles gossip,9.6856401649225e-05
god hears your voice optimism at the moment that you think that everything has failed you,9.87006484324e-05
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky happy,9.569783450572898e-05
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky,9.569783450572898e-05
love this laughing while crying works too katherinemansfield failure laughter dealingwithfailure,9.587866181522498e-05
love this laughing while crying works too katherinemansfield failure dealingwithfailure,0.00010904921053156899
they tend to loosen up a bit when drunk and can seem pretty cheerful,9.5850502766929e-05
god chirp this burp,0.0042961404705025
we so elated we celebrated like obama waited until his last day in office to tell the nation brothers is getting their reparations,0.00010267365610560101
angel delight is my everything,9.583591573472399e-05
i just want to let everyone out there know you are wonderful people beyourself happy cheerful latenight compliment behappy,0.00011420442410260901
i just want to let everyone out there know you are wonderful people beyourself latenight compliment behappy,0.1098855073934289
terribledebatequestions has given me so many laughs this afternoon thanks twitter hilarious cleverpeople,0.00010932053327731601
terribledebatequestions has given me so many laughs this afternoon thanks twitter cleverpeople,0.00095203719601
paraplyene soupper i just read it and its so fun so lighthearted and cheerful i was right its a double cavity for me,9.584292520360001e-05
im at the point in my life that im playing christmas music in my room because i need winter and joyful times rn,9.579638947896902e-05
luis ortiz ducked by ustinov which means fights off and he left goldenboyboxing future not looking to bright for ortiz boxing,9.615857737830399e-05
another joyful encounter in tribez amp castlez i just met bartolomeo do you want to know who that is download the game and find out,0.00010200811130874226
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao hilarious,9.5869986507684e-05
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao,0.00012047620908339024
happy birthday brooke5656 cheer cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,9.569783450572898e-05
the little sniffle at the end of the song gets me every time rejoice,9.675033863062501e-05
the little sniffle at the end of the song gets me every time,0.00016108281527744029
i mean is she supposed to seem joyous when shes talking rodrigo duterte isis the american economy etc think about what youre saying,9.5821329812569e-05
xenostateofmind yesnnmake her smile and be happynshe deserves happiness,9.5900263665424e-05
keep smiling,9.7006051197225e-05
ever wake up and instantly feel happy,0.00010516115890053226
jpodhoretz i still respect you i suppose there is so little to be gleeful about these days so take what you can good for you,0.00010632032988062501
amstradocpc shittysufanart the single tear is him being joyous that hes deleted the monster that has brought generations of despair,0.001062582272231076
quoteofthedayrrif you dont do wild things while youre young youll have nothing to smile about when youre oldrrdailyquote quotes,0.000100070232327121
all the bright places,0.000257222127117316
im honored to take on such a role in their joyous day hopefully i dont fuck it up,0.000109286638700625
im the reason i smile everyday,9.620176806249999e-05
noorbazzi14 lowkey i want to go just to chirp anna lol but say hi to atkins for me one of my favourite coaches hes smart and caring,9.574732092313601e-05
its all about redwine and glee,9.609071189256899e-05
its all about redwine and,0.004351131089314815
tabstamlyn larahunt1 i will next time ill make sure everything is sparkling clean,0.000185316518836201
take my kindness for weakness when you acting silly keeping it 100 aint your forté chrisbrown teambreezy,0.000143326341722404
take my kindness for weakness when you acting silly keeping it 100 aint your forté breezy chrisbrown teambreezy,9.725805780249999e-05
i envy the relentless your cheerful smile aimed at the pouring rain your positive attitude is an art you have continually mastered,9.581892177379601e-05
im moving this weekend amp my sugar daddy will replace it so it is what it is niggas still happy,0.000163434286676164
anyone who drinks sparkling water is a demon,0.00019245567579276023
modern family never fails to cheer me up especially phil,9.629027844312099e-05
smile instagramers selfiebestmeselfiemesmilebestmecameraisgreatemojigridlikeforlikefriendgirlboytattoosfamily6packg,0.0001058736044601
authorlb awesome my 9 yr old grandson runs cross country no simon whitfield but still a lot of fun cheering him on,0.00018734669812622498
18 nmichael carrick as struck the back of the net much to the delight of under pressure man u fanz and mou,9.778951254416401e-05
ruthwalford95 you may be right but since year the bad events begin with b im privately hoping weve got at least cz to go 1st optimism,0.0001060902060001
ruthwalford95 you may be right but since year the bad events begin with b im privately hoping weve got at least cz to go 1st,0.013107128915776901
ditzkoff jpodhoretz there ’ s not a metaphor in the world that will get at the hilarity of jpod pronouncing on humor,9.6167932575625e-05
successful people always have two things on their lips silence nd smile smile to avoid problems nd silence to avoid the problems too,9.629891386640102e-05
in geometry today hannah started crying of laughter because ms canning said pp lol,0.00010235583381523602
whufchub westhamtransfer thehammers i dont see any reason for optimism at this point just stringing together bad performances,0.00011707283280039999
yall shabazzs name in my phone is easy breezy beautiful amp i will not apologize,9.569783450572898e-05
during the day jeffprobst is jovial at tribalcouncil hes a different darker fellow still simply but smiles are few survivor,0.000103424079476169
it is time for a most joyous celebration,9.715345065602501e-05
