#sentence,gold score,actual score
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.0,0.06342379
these learning processes are something i have not experienced before,0.0,0.062668875
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.75,0.18074113
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,0.5,0.36103243
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.0,0.1254994
but there are still many personal problems that need to be addressed1,0.0,0.062668875
in the market technology department the teacher has taught us a lot of methods of market analysis,0.0,0.07027495
i need to pay more tension in my homework than before,0.0,0.06267668
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.25,0.37282678
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.5,0.3649418
he used the simple wordsand told me do not use any difficult words,0.0,0.085929595
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.25,0.3904393
negative behavior occurs for avariety of personal reasons,0.25,0.062668875
my study plan is also not very different from the schools overview,0.0,0.062668875
break down a difficult task into several parts to save time and then you can assign different roles,0.5,0.3011393
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.25,0.12518758
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.5,0.569028
the site you give us should be an english language siteinsert your link below,0.0,0.111225225
for example there was a problem with the computer,0.0,0.062668875
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.0,0.062668875
language barrier,0.0,0.062668875
first i gained unity awareness because we need to discuss and achieve every task together,0.25,0.2576458
as a student i also aspire to be a distinction grade student,0.25,0.062685005
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.25,0.062668875
1 clear outline2,0.0,0.062668875
therefore we can get a better result,0.0,0.07391607
it means that the lecturers and the msc directors are working to improve the msc content,0.0,0.12456195
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.5,0.20722628
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.5,0.21921712
the structure of each lecture is really nice,0.0,0.062668875
this is the most different thing,0.0,0.062668875
for instance we recordedour promotional video about our business idea,0.0,0.06453201
