#sentence,error
you must be knowing blithe means adj happy cheerful,2.3924456669926893e-05
old saying a smile shared is one gained for another day yeglifer scottmckeen,4.424656829392836e-05
bridget jones baby was bloody hilarious bridgetjonesbaby,0.15633733255142562
elaminova sparkling water makes your life sparkly,2.3970140356761e-05
im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile,2.4017713219369e-05
gbbo can cheer me up,2.7525914398710245e-05
amp as much as i hate for a dude to cheat women forego pleasing their man they get lazy amp men get lazy amp then its just pointless,0.060955985561875606
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 birthday,8.231782288888899e-05
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 happy birthday,2.4044649611983362e-05
the race advances only by the extra achievements of the individual you are the individual charles townen optimism inspire,0.0230059608656656
the race advances only by the extra achievements of the individual you are the individual charles townen inspire,0.0231996246604929
watching football matches without commentary is something that i rejoice found a transmission of city ’ s match like that today joyful,2.4019193279843995e-05
twd comes on soon happy,0.0016015403705625
twd comes on soon,0.0458017910230609
taudeltaphidk thank you for my obama cut out i am elated that hes back home,2.4092204041160997e-05
ddogsscout oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend,0.03701536658268839
gemma simmons is the bright spot of the premiere so far agentsofshield,4.9086866464803996e-05
this is a beautiful day that the lord has made i will rejoice and be glad,2.472704116069264e-05
watch this amazing lively broadcast by kellipeterson lively musically come watch,0.0097801063071364
sometimes i like to talk about my sadness other times i just want to be distracted by friends laughter shopping eating nnmhchat,2.4485425475625e-05
oi thewiggymess youve absolutely fucking killed me 30 mins later im still crying with laughter grindah grindah hahahahahahaha,0.0401945319433476
so happy i live in nyc see you tomorrow samheughan barbour,5.1110245634449e-05
accept the challenges so that you may feel the exhilaration of victory,3.575676784023369e-05
for what a beautiful day elated,2.6049729880120963e-05
for what a beautiful day,0.0004987844182443241
langstonhunter yeah bro it eas hella exhilarating,4.0447089110966755e-05
sometimes im sad then remember margaret thatcher is dead and then i rejoice,2.3926005268946562e-05
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any,2.4081053490025003e-05
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any optimism,2.4145846149269294e-05
apkrawczynski any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner optimism,2.4228401333013157e-05
