#sentence,error
you must be knowing blithe means adj happy cheerful,0.0048912633
old saying a smile shared is one gained for another day yeglifer scottmckeen,0.0066518094
bridget jones baby was bloody hilarious bridgetjonesbaby,0.39539516
elaminova sparkling water makes your life sparkly,0.004895931
im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile,0.004900787
gbbo can cheer me up,0.0052465145
amp as much as i hate for a dude to cheat women forego pleasing their man they get lazy amp men get lazy amp then its just pointless,0.24689266
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 birthday,0.009072917
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 happy birthday,0.0049035344
the race advances only by the extra achievements of the individual you are the individual charles townen optimism inspire,0.15167716
the race advances only by the extra achievements of the individual you are the individual charles townen inspire,0.15231423
watching football matches without commentary is something that i rejoice found a transmission of city ’ s match like that today joyful,0.004900938
twd comes on soon happy,0.04001925
twd comes on soon,0.21401353
taudeltaphidk thank you for my obama cut out i am elated that hes back home,0.004908381
ddogsscout oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend,0.19239378
gemma simmons is the bright spot of the premiere so far agentsofshield,0.007006202
this is a beautiful day that the lord has made i will rejoice and be glad,0.0049726292
watch this amazing lively broadcast by kellipeterson lively musically come watch,0.09889442
sometimes i like to talk about my sadness other times i just want to be distracted by friends laughter shopping eating nnmhchat,0.004948275
oi thewiggymess youve absolutely fucking killed me 30 mins later im still crying with laughter grindah grindah hahahahahahaha,0.20048574
so happy i live in nyc see you tomorrow samheughan barbour,0.007149143
accept the challenges so that you may feel the exhilaration of victory,0.0059796963
for what a beautiful day elated,0.0051038936
for what a beautiful day,0.022333482
langstonhunter yeah bro it eas hella exhilarating,0.0063598026
sometimes im sad then remember margaret thatcher is dead and then i rejoice,0.0048914216
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any,0.004907245
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any optimism,0.0049138423
apkrawczynski any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner optimism,0.0049222354
martin roth leaving vampa shoes the effects of brexit bright and talented foreigners made to feel unwelcome and leaving uk c4news,0.0048969444
one thing i can say is that you kept me smiling,0.005175533
blackish always has me rollin hilarious,0.0048912633
blackish always has me rollin,0.005049197
how is your toddler coping with the new arrival has he tried killing her yet they cheerfully ask,0.48653752
american schools are lively,0.08326736
drawing minicomics is joyful folding minicomics is meditative and relaxing i think i need to do them for more than just halloween,0.005254181
malkarii korgoth of barbaria for brutality king julian for hilarity and ariel because hot,0.4663978
i love those memories that randomly popninto my head have me smiling like annidiot for ages,0.004895961
turtletitan2003 she laughed a bit of course it was aria shook her head calming her mirth so she could listen to mikey no actually,0.004902603
ireneestry cant wait to see you hun cuddles gossip laughter,0.004902689
ireneestry cant wait to see you hun cuddles gossip,0.0049207825
god hears your voice optimism at the moment that you think that everything has failed you,0.05196741
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky happy,0.0048912633
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky,0.0048912633
love this laughing while crying works too katherinemansfield failure laughter dealingwithfailure,0.2938959
love this laughing while crying works too katherinemansfield failure dealingwithfailure,0.29422134
they tend to loosen up a bit when drunk and can seem pretty cheerful,0.0048951637
god chirp this burp,0.032772474
we so elated we celebrated like obama waited until his last day in office to tell the nation brothers is getting their reparations,0.0050664004
angel delight is my everything,0.004894791
i just want to let everyone out there know you are wonderful people beyourself happy cheerful latenight compliment behappy,0.0053433236
i just want to let everyone out there know you are wonderful people beyourself latenight compliment behappy,0.16574492
terribledebatequestions has given me so many laughs this afternoon thanks twitter hilarious cleverpeople,0.005227823
terribledebatequestions has given me so many laughs this afternoon thanks twitter cleverpeople,0.01542755
paraplyene soupper i just read it and its so fun so lighthearted and cheerful i was right its a double cavity for me,0.00489497
im at the point in my life that im playing christmas music in my room because i need winter and joyful times rn,0.0048937816
luis ortiz ducked by ustinov which means fights off and he left goldenboyboxing future not looking to bright for ortiz boxing,0.004903024
another joyful encounter in tribez amp castlez i just met bartolomeo do you want to know who that is download the game and find out,0.0050499532
