#sentence,gold score,actual score
you must be knowing blithe means adj happy cheerful,0.583,0.7585527
old saying a smile shared is one gained for another day yeglifer scottmckeen,0.5,0.46085954
bridget jones baby was bloody hilarious bridgetjonesbaby,0.86,0.61590505
elaminova sparkling water makes your life sparkly,0.521,0.45619932
im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile,0.042,0.36982432
gbbo can cheer me up,0.417,0.4781673
amp as much as i hate for a dude to cheat women forego pleasing their man they get lazy amp men get lazy amp then its just pointless,0.16,0.0
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 birthday,0.75,0.54717857
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 happy birthday,0.688,0.6698073
the race advances only by the extra achievements of the individual you are the individual charles townen optimism inspire,0.34,0.41920367
the race advances only by the extra achievements of the individual you are the individual charles townen inspire,0.258,0.18938565
watching football matches without commentary is something that i rejoice found a transmission of city ’ s match like that today joyful,0.688,0.4243203
twd comes on soon happy,0.712,0.6989321
twd comes on soon,0.333,0.012676254
taudeltaphidk thank you for my obama cut out i am elated that hes back home,0.833,0.4233574
ddogsscout oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend,0.396,0.37284833
gemma simmons is the bright spot of the premiere so far agentsofshield,0.521,0.4958769
this is a beautiful day that the lord has made i will rejoice and be glad,0.88,0.62657917
watch this amazing lively broadcast by kellipeterson lively musically come watch,0.52,0.5479943
sometimes i like to talk about my sadness other times i just want to be distracted by friends laughter shopping eating nnmhchat,0.25,0.39416605
oi thewiggymess youve absolutely fucking killed me 30 mins later im still crying with laughter grindah grindah hahahahahahaha,0.846,0.32887262
so happy i live in nyc see you tomorrow samheughan barbour,0.729,0.58007836
accept the challenges so that you may feel the exhilaration of victory,0.36,0.59768146
for what a beautiful day elated,0.854,0.7853931
for what a beautiful day,0.64,0.39239007
langstonhunter yeah bro it eas hella exhilarating,0.604,0.52337545
sometimes im sad then remember margaret thatcher is dead and then i rejoice,0.292,0.33441085
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any,0.354,0.13625778
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any optimism,0.354,0.41199952
apkrawczynski any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner optimism,0.32,0.409253
martin roth leaving vampa shoes the effects of brexit bright and talented foreigners made to feel unwelcome and leaving uk c4news,0.2,0.028129423
one thing i can say is that you kept me smiling,0.66,0.5940653
blackish always has me rollin hilarious,0.833,0.63728124
blackish always has me rollin,0.625,0.0
how is your toddler coping with the new arrival has he tried killing her yet they cheerfully ask,0.292,0.40646887
american schools are lively,0.614,0.42520142
drawing minicomics is joyful folding minicomics is meditative and relaxing i think i need to do them for more than just halloween,0.562,0.45609623
malkarii korgoth of barbaria for brutality king julian for hilarity and ariel because hot,0.438,0.43453914
i love those memories that randomly popninto my head have me smiling like annidiot for ages,0.875,0.38777518
turtletitan2003 she laughed a bit of course it was aria shook her head calming her mirth so she could listen to mikey no actually,0.438,0.42997524
ireneestry cant wait to see you hun cuddles gossip laughter,0.773,0.61493236
ireneestry cant wait to see you hun cuddles gossip,0.669,0.0
god hears your voice optimism at the moment that you think that everything has failed you,0.312,0.3744082
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky happy,0.938,0.6738237
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky,0.708,0.07759453
love this laughing while crying works too katherinemansfield failure laughter dealingwithfailure,0.667,0.783383
love this laughing while crying works too katherinemansfield failure dealingwithfailure,0.635,0.62745214
they tend to loosen up a bit when drunk and can seem pretty cheerful,0.438,0.39815056
god chirp this burp,0.442,0.5994059
we so elated we celebrated like obama waited until his last day in office to tell the nation brothers is getting their reparations,0.5,0.55410326
angel delight is my everything,0.66,0.38730112
i just want to let everyone out there know you are wonderful people beyourself happy cheerful latenight compliment behappy,0.9,0.7355041
i just want to let everyone out there know you are wonderful people beyourself latenight compliment behappy,0.792,0.09160592
terribledebatequestions has given me so many laughs this afternoon thanks twitter hilarious cleverpeople,0.827,1.0325726
terribledebatequestions has given me so many laughs this afternoon thanks twitter cleverpeople,0.78,0.82317585
paraplyene soupper i just read it and its so fun so lighthearted and cheerful i was right its a double cavity for me,0.62,0.8680198
im at the point in my life that im playing christmas music in my room because i need winter and joyful times rn,0.292,0.54549444
luis ortiz ducked by ustinov which means fights off and he left goldenboyboxing future not looking to bright for ortiz boxing,0.288,0.38581318
another joyful encounter in tribez amp castlez i just met bartolomeo do you want to know who that is download the game and find out,0.667,0.4638924
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao hilarious,0.82,0.6148388
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao,0.542,0.17813419
happy birthday brooke5656 cheer cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,0.688,0.74142605
the little sniffle at the end of the song gets me every time rejoice,0.667,0.4107242
the little sniffle at the end of the song gets me every time,0.3,0.026628021
i mean is she supposed to seem joyous when shes talking rodrigo duterte isis the american economy etc think about what youre saying,0.216,0.7947287
xenostateofmind yesnnmake her smile and be happynshe deserves happiness,0.75,0.62946683
keep smiling,0.654,0.6532646
ever wake up and instantly feel happy,0.646,0.6673454
jpodhoretz i still respect you i suppose there is so little to be gleeful about these days so take what you can good for you,0.417,0.42512128
amstradocpc shittysufanart the single tear is him being joyous that hes deleted the monster that has brought generations of despair,0.317,0.42291516
quoteofthedayrrif you dont do wild things while youre young youll have nothing to smile about when youre oldrrdailyquote quotes,0.536,0.6748694
all the bright places,0.226,0.45852295
im honored to take on such a role in their joyous day hopefully i dont fuck it up,0.5,0.43446055
im the reason i smile everyday,0.78,0.67552686
noorbazzi14 lowkey i want to go just to chirp anna lol but say hi to atkins for me one of my favourite coaches hes smart and caring,0.66,0.40907088
its all about redwine and glee,0.5,0.60290366
its all about redwine and,0.236,0.5241907
tabstamlyn larahunt1 i will next time ill make sure everything is sparkling clean,0.34,0.4021312
take my kindness for weakness when you acting silly keeping it 100 aint your forté chrisbrown teambreezy,0.288,0.00022262335
take my kindness for weakness when you acting silly keeping it 100 aint your forté breezy chrisbrown teambreezy,0.188,0.40955877
i envy the relentless your cheerful smile aimed at the pouring rain your positive attitude is an art you have continually mastered,0.519,0.49281457
im moving this weekend amp my sugar daddy will replace it so it is what it is niggas still happy,0.458,0.4615114
anyone who drinks sparkling water is a demon,0.12,0.4080984
modern family never fails to cheer me up especially phil,0.729,0.40657392
smile instagramers selfiebestmeselfiemesmilebestmecameraisgreatemojigridlikeforlikefriendgirlboytattoosfamily6packg,0.52,0.6809438
authorlb awesome my 9 yr old grandson runs cross country no simon whitfield but still a lot of fun cheering him on,0.78,0.42437652
18 nmichael carrick as struck the back of the net much to the delight of under pressure man u fanz and mou,0.481,0.54227984
ruthwalford95 you may be right but since year the bad events begin with b im privately hoping weve got at least cz to go 1st optimism,0.333,0.3864298
ruthwalford95 you may be right but since year the bad events begin with b im privately hoping weve got at least cz to go 1st,0.229,0.027141742
ditzkoff jpodhoretz there ’ s not a metaphor in the world that will get at the hilarity of jpod pronouncing on humor,0.583,0.4506432
successful people always have two things on their lips silence nd smile smile to avoid problems nd silence to avoid the problems too,0.357,0.19193262
in geometry today hannah started crying of laughter because ms canning said pp lol,0.635,0.33044925
whufchub westhamtransfer thehammers i dont see any reason for optimism at this point just stringing together bad performances,0.06,0.35169375
yall shabazzs name in my phone is easy breezy beautiful amp i will not apologize,0.3,0.42457825
during the day jeffprobst is jovial at tribalcouncil hes a different darker fellow still simply but smiles are few survivor,0.26,0.39234352
it is time for a most joyous celebration,0.78,0.8336344
filthyfrank my first time watching your vids and i died of laughter keep this up dude,0.852,0.5169857
dumteedum dont think ian knew of pavel he knew about charlie i bet rob will cackle with glee when he heard what has happened thearchers,0.33,0.42843014
mou is too jovial and trying to impress those players too much no player is bigger than manutd saf wont tolerate all this bs manutd,0.192,0.060132984
your smile is a messenger of your good will,0.604,0.43633828
imagine if teppu got animated by madhouse tho gtlt,0.333,0.285511
im highly animated even though im decomposing,0.333,0.40909222
jk started this week strong and its still going strong optimism,0.731,0.40061772
jk started this week strong and its still going strong,0.6,0.0028132312
cailamarsai youve had me the whole time watching blackishabc after youve lost your glasses it was hilarious mrbabyboogaloo,0.812,1.046083
town is lively something happen,0.354,0.39584392
so today i un armed my silence my lungs rejoice in freedom my insides had color too a woman counted my jawbone became a razor for free,0.625,0.0
sqlbek my liver is elated that isnt us,0.58,0.53138655
symmetry is key everything must be aesthetically pleasing as possible that is why i hold you twin pistols deaththekid bot,0.32,0.42561862
oii oiii louistomlinson nthank you for always making me smile my birthday is in 16 days mind following me as a gift x225884,0.82,0.7024488
steeeevie breezy luvvvv,0.56,0.4248313
my timehop literally cracks me up when i see posts from 2 years ago and later,0.88,0.047489353
my timehop literally cracks me up when i see posts from 2 years ago and later hilarious,0.82,0.6714496
byekandace cant cheer for a jigaboo,0.146,0.546377
daveweigel a laurel and hearty handshake,0.458,0.4930725
bhavnay that i dont mind too much smoother thicker texture makes it more hearty also im glad iced coffee is a thing in the uk now,0.5,0.24154621
leejarvis10 cant be following u pal hes smiling,0.312,0.48824722
love to play underlord while listening to cheery anime music,0.54,0.53577375
its an exhilarating feeling working hard and feeling accomplished whether they notice or not you feel fuking good,0.771,0.6303214
starting at 22 minutes this weeks bestshow4life is straightup paradigm shift level mirth,0.458,0.398979
someone teach me how to cheer someone up,0.25,0.35221046
greatdismal bencjacobs and it ’ s gleeful because they ’ re so inspired so convinced they ’ re winning and at last have their strongman,0.583,0.42164674
avoiding hearty basset hound no time presenttime american the brave ydxef,0.32,0.21486765
alternate reality where poetryfound has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down,0.246,0.42370716
thatbritishdude no okay you dont not need to be going out of your way to make sure you are pleasing everyone do what makes you happy,0.231,0.3909155
and i think some of our most spiritually weighty experiences came counterintuitively and recognized in hindsight in levity and daily grace,0.44,0.39993384
thegoatshow gamegrumps now that i have been sucked into this wormhole of hilarity with no escape i can say how weird and accurate this is,0.577,0.4236514
pdortch7 i make sacrifices to make you happy,0.18,0.63975775
im ever so cheerful,0.74,0.73792976
markdice agreedso tired of this nonsense soros must be elated,0.04,0.556446
getquenched16 attempts by western degenerates 2 imply that dprk stoops to levity will be met by devastating nuclear retaliation,0.062,0.03358788
girlfriends cooking me dinner again spag blow it is not to sure if she need my help girlfriends happy,0.8,0.18594645
girlfriends cooking me dinner again spag blow it is not to sure if she need my help girlfriends,0.708,0.0
