#sentence,error
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.186368935
these learning processes are something i have not experienced before,0.06363209
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.063615814
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,0.10720083000000002
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.186325945
but there are still many personal problems that need to be addressed1,0.43637995
in the market technology department the teacher has taught us a lot of methods of market analysis,0.06362914
i need to pay more tension in my homework than before,0.06362673
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.013478340000000033
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.50498411
he used the simple wordsand told me do not use any difficult words,0.079391114
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.17092102999999997
negative behavior occurs for avariety of personal reasons,0.186382875
my study plan is also not very different from the schools overview,0.06462264
break down a difficult task into several parts to save time and then you can assign different roles,0.063690655
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.05853322
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.25864387
the site you give us should be an english language siteinsert your link below,0.063678004
for example there was a problem with the computer,0.063617244
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.06610626
language barrier,0.06361588
first i gained unity awareness because we need to discuss and achieve every task together,0.09301717
as a student i also aspire to be a distinction grade student,0.16898365999999998
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.22830384999999997
1 clear outline2,0.06361523
therefore we can get a better result,0.06362757
it means that the lecturers and the msc directors are working to improve the msc content,0.06364136
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.18734479
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.08371990000000001
the structure of each lecture is really nice,0.18635445
this is the most different thing,0.06362902
for instance we recordedour promotional video about our business idea,0.06362132
and with my classmates who are from a different background including different age working experience nation and family,0.06363114
of course it surprised me,0.06361936
can cook well now8,0.06361793
firstly i often have one item on the list that is hanging over my head and just doesn  t seem like it will get taken care of,0.15818006
i can always provide creative ideas and help when they need5,0.066895925
i expected more interaction at masters level compared to bachelors,0.06372831
they were all unforgettable even though there were two man absent in the session and we met eacn other at the supervisor session,0.0636414
in terms of learning methods it is necessary to profoundly understand the goals and intentions of the course content setting of each course grasp the key points of the teachers class content and strictly exclude all external factors in the learning attitude and concentrate on the energy in a certain period of time,0.17638062999999998
sometimes i dont understand my notes very well when i read them because i may not remember the example that the teacher said at that time,0.15667534
all of this can help me have a better life in the next year,0.18583065999999998
yes the teaching style is my ideal style,0.07015579
tutors do not give you some simple contents rather than some model or strategies that you will need during homework so it is critical for our reports7,0.04044676
in china many teachers are boring and rigid in their lectures,0.063616596
i also read lots of documents and reports although it is tutor asked us to read,0.0636865
for example some people want to adopt a strategy but other people want to adopt another strategy,0.065186165
only in this way can improve the efficiency in teamwork,0.18216562
i heart from my classmates that some students are selfish and arrogant and refuse to cooperate with others these behaviors will hinder success,0.061700599999999994
jin is a chinese student who worked for 5 years before come here,0.06361943
as i have to listen to many lectures given by teachers every weekday i found teachers use the presentation skills into the lectures skillfully,0.29431659
absolutely yes but for mea chinese student the big problem is we used the totally different language before my only concern about the report and essay things like that i need to write in english im afraid of the grammar and so on,0.04354580000000002
i started my masters and start taking notes on diary then i realized that is not enough because in the uk masters system has report writing and assessments for which i need skills of ms word and i need to strong grip on ms word so i start making notes on ms word and start highlighting with red color so i keep in mind those points while reading slides and lectures and now because of this step in am progressing positively in making my assessment my methods and way of taking notes and organizingnote down things that the instructor says more than oncebe selective don  t take down every single note take down the main points of the lecture or discussionhandwritten notes work best for classes that have to do withon your computer make sure that you have one folder for your notes from each different classkeep all the lecture and slides of that subject in that folder of subjectkeep all the syllabic and handouts for each class in the same place as your notes so that they are easily accessiblebe consistent,0.3937936
my supervision group is greateveryone has different skills which can help us successand i think communication is essential for success,0.55402529
from my point of view the most surprised and helpful part is the supervision group,0.18636612
actually it is a small behaviour due to different reasons but i believe that late is unreasonable and not respect tutors and other students,0.1622055
the teaching and learning styles are very different with my previous studying,0.18637320400000001
