#sentence,error
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.1414714825163025
these learning processes are something i have not experienced before,0.01808914711681
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.0317219146558609
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,2.7853061759999932e-05
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.0011958213544224993
but there are still many personal problems that need to be addressed1,0.37471143742876833
in the market technology department the teacher has taught us a lot of methods of market analysis,0.0486235310953536
i need to pay more tension in my homework than before,0.22883192515044
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.005522579513683594
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.0026206679608515994
he used the simple wordsand told me do not use any difficult words,0.0671666941905444
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.07540726894274559
negative behavior occurs for avariety of personal reasons,0.1315970812321344
my study plan is also not very different from the schools overview,0.26963206920276644
break down a difficult task into several parts to save time and then you can assign different roles,0.08418058129320999
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.06332009270182562
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.042272223524410006
the site you give us should be an english language siteinsert your link below,0.0434522071207249
for example there was a problem with the computer,0.0188343811793281
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.0028739227366403972
language barrier,0.018831674935102502
first i gained unity awareness because we need to discuss and achieve every task together,0.0754614909765025
as a student i also aspire to be a distinction grade student,0.17916490020156248
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.0903581716452496
1 clear outline2,0.0188315733861124
therefore we can get a better result,0.00021053168428410027
it means that the lecturers and the msc directors are working to improve the msc content,0.003917175128275599
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.07263849693409001
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.03778976593680998
the structure of each lecture is really nice,0.07011962785723211
this is the most different thing,0.037652957509690006
for instance we recordedour promotional video about our business idea,0.018835605365836897
and with my classmates who are from a different background including different age working experience nation and family,0.0126301544652816
of course it surprised me,0.1315954850792464
can cook well now8,0.018832190917984895
firstly i often have one item on the list that is hanging over my head and just doesn  t seem like it will get taken care of,0.04783944451729002
i can always provide creative ideas and help when they need5,0.028328054128359998
i expected more interaction at masters level compared to bachelors,0.3058343500453264
they were all unforgettable even though there were two man absent in the session and we met eacn other at the supervisor session,8.69660099999595e-10
in terms of learning methods it is necessary to profoundly understand the goals and intentions of the course content setting of each course grasp the key points of the teachers class content and strictly exclude all external factors in the learning attitude and concentrate on the energy in a certain period of time,0.08633389457169
sometimes i dont understand my notes very well when i read them because i may not remember the example that the teacher said at that time,0.04905323536412251
all of this can help me have a better life in the next year,0.0131726303475264
yes the teaching style is my ideal style,0.2373480354950884
tutors do not give you some simple contents rather than some model or strategies that you will need during homework so it is critical for our reports7,0.10726795516933689
in china many teachers are boring and rigid in their lectures,0.13156985364084808
i also read lots of documents and reports although it is tutor asked us to read,0.050004303293616395
for example some people want to adopt a strategy but other people want to adopt another strategy,0.0356519085814369
only in this way can improve the efficiency in teamwork,0.0123183006278656
i heart from my classmates that some students are selfish and arrogant and refuse to cooperate with others these behaviors will hinder success,0.07821493973603559
jin is a chinese student who worked for 5 years before come here,0.0244950889922649
as i have to listen to many lectures given by teachers every weekday i found teachers use the presentation skills into the lectures skillfully,0.25394615040248997
absolutely yes but for mea chinese student the big problem is we used the totally different language before my only concern about the report and essay things like that i need to write in english im afraid of the grammar and so on,0.08113866795225
i started my masters and start taking notes on diary then i realized that is not enough because in the uk masters system has report writing and assessments for which i need skills of ms word and i need to strong grip on ms word so i start making notes on ms word and start highlighting with red color so i keep in mind those points while reading slides and lectures and now because of this step in am progressing positively in making my assessment my methods and way of taking notes and organizingnote down things that the instructor says more than oncebe selective don  t take down every single note take down the main points of the lecture or discussionhandwritten notes work best for classes that have to do withon your computer make sure that you have one folder for your notes from each different classkeep all the lecture and slides of that subject in that folder of subjectkeep all the syllabic and handouts for each class in the same place as your notes so that they are easily accessiblebe consistent,0.1938222461461504
my supervision group is greateveryone has different skills which can help us successand i think communication is essential for success,0.033278625230489994
from my point of view the most surprised and helpful part is the supervision group,0.1517644342872025
actually it is a small behaviour due to different reasons but i believe that late is unreasonable and not respect tutors and other students,0.019709632881000014
the teaching and learning styles are very different with my previous studying,0.022435576182010003
i am organizing my notes to show levels of significance by marking the significant information according to its significance,0.08604893054736039
itfeels good to be back to school after five years of working but it also feelsquite weird at the same time,0.26634646248252253
authoritarian could kill the creativity,0.11841668174756252
learning strategieshow to reasonably arrange your study time and entertainment time is a big challenge4,0.09775568154690249
the first thing is although i have studiedfor my premaster degree last year i can not stand some english habit whichmeans i can not complete get involved into uk culture,0.0625614400921225
i like the comfortable and relaxed atmosphere of induction,0.051315523758489995
the most important thing is to help me understand my classmates and make new friends,0.003040717363289999
however this small aspect generally does not enter the entire group of seminars,0.05110891994275241
it takes a lot of time for traveling,0.046220399114489996
once we needed to perform a short drama in class i was surprised to find that their performances were both excellent and they did bring me lots of fun,0.0014844144896099965
international business is a novelty course for me,0.008085595609603601
now the varieties of homework are different which make the study interesting but i did the same type of homework in most courses before6,0.0682728142290489
as amatter of fact students who get up at different times will have differentlearning time,0.024044382007500097
compared with guest lecturers from outside the uni lectures were easy to understand in terms of the language for my standard,0.1315673726095089
weijia huang is creative and active,0.018832407742688396
first of all you must have a good understanding of everyone on the team because this is the basis for cooperation with them,0.10102754181288998
i only read something in the textbook before4,0.12571519752829213
i think the attitude and honesty are the most important factor of successful collaborative learning,0.004552497772839998
the lecturers care about students feeling and often ask students sitting behind to confirm if they can hear clearly or not,0.11041826568115362
therefore i not only expect to graduate successfully but also expect to get higher scores,0.039526569206409984
from a lecture to lecture basis the lectures have followed a sensible order where each lecture build on knowledge learned in the previous lectures,0.11505647040006252
however i found that the teaching style is totally different in uk,0.10241079068425961
this does not necessarily mean that each person should complete the same amount of work or same amount of ours,0.12834213105168998
i hope that we can have some challenges in the future group work,0.0015239654440000014
law for engineering management is new for me as a course,0.0105113899785049
however in this level i learned that we will have more group activities,0.24627557563456
people needs to learn to adhere thatpeople can have a better achieve in goals and have better life what we want,0.08041018677561
tons of background knowledge i haveobserved and learned during the course,0.08584832024134559
teamwork need to convince everyone to target the common dedication,0.04933926240282489
the whole day was thus disrupted,0.012695910271776903
i believein myself that i can do it,0.005418599932099603
in future modules try to use teamwork as much as possible,0.046953138958092895
i should spend a lot of time every day on homework research the expansion of additional knowledge and language skills improvement,0.0008101867718883996
if it is not a major principle problem i think it may be good to listen to others,0.0025552044339408994
however every time when i finished the dinner i just want to lie on my bed and play mobile phones or watch youtube videos instead of walking to my desk sit down and start learning,0.09944110673926561
i always finish my notes and then put it aside,0.03598216331712249
so far i am dealingwell with the work given by the different modules,0.1388469015011556
i anticipate we may encounter some problems when we undertake proper group work in the future however as personalities can clash and relying on other people to get things done can sometimes be quite daunting,0.08235688904520999
each one expressed their point of view,0.018832149748878403
for example our supervisor will give us instructive suggestion about our programme works and career in the future the language central is open to public and this will facilitate our international students,0.30172510688401005
his lecture starts with general topicand objectives,0.0188319521377936
in my last degree i just had many practice to do but in york i have to write essays9,0.0014149378772356038
my notes helped me to pin point my problems and videos helped me to solve my confusion,0.00462529209025
at present i think my group members are very thoughtful and have strong executive ability,0.031127615472039995
in order to be more likely to succeed it is also important to ensure that more attention is given to subjects that are found difficult rather than spending all of ones time on those that one finds the easiest as this will mean that one will obtain a more wellrounded knowledge with which to complete assignments,0.06040608795224998
it is worth mentioning that all lectures are relevant for example recently most of classes are involved in how to perform in a presentation,0.005239999379865597
i think the difficult one to achieve is present and review theory evidence and interpretation honestly accurately objectively and without bias which from the raes statement of ethical principles,0.13091452287805438
because i learned many theories in my university i am not sure which situation is belongs to which theory,0.001625154094240004
the main difference is that everyone in the group has strong characteristics nearly everyone has so many great strengths and good leadership,0.0017166852024099995
the reasons are complicated but i think one of the primary causes might be the structure and method of teaching completely different from the previous degree that ive done already,0.06087000343914091
sometimes i need to search somewords in dictionary and find out the meaning of words,0.047802863646595604
its easy for me to getcaught up in the trouble of not having to start for example driving acomputer staring at a problem and still have no answer for half an hour,0.005772907214122502
the most helpful is the handbook i can know about what my majors assessment is and i also can know the teaching structure of the engineering management,0.003221391103290001
as to the learning style i think it is more selflearning things than learning things from the lectures,0.07758048725190757
the attributes of these courses mean that we need to read more articles,0.035597274521759995
then i will usein my job when i am going to face with similar problems,0.0012356209219600038
for example the thinker oftenindependent thinking has the ability to brainstorm a leader has the abilityto lead a team to victory,0.002471733355240898
however i also found some students would be distracted because of smartphone or something like that,0.015190594545016903
i will pull out all stops,0.07210165317660011
how do you stay focused,0.3242983246156808
every lecture makes it easy for me to understand and the instructor will connect each point in a humorous way to make it easier for me to accept,0.0002576172662115996
another way is to let them understand the responsibilityon their shoulder and how bad it is to fail their teammates,0.0501744140925316
during my taught msc i should make sure to keep the knowledge and skills up to date,0.00010367964058240046
i think confidence is the most important element to have when a presentation is given,0.0643877734564516
duringtwo months i am more close to the group members because of the group work,0.008070839292622499
if some members have problems they can ask other member for help,0.044991699929500896
in the future study i promise that i will never do anything contrary to the rae ethical principles,0.0040171156677184005
theyre not nerds,0.12741003999788492
there are many things to do,0.0262853489541049
i remember in my childhood there was a huge bridge in my hometown established by many engineering managers and workers but the materials and structure of the bridge didnt come up with national standards,0.058129562006532895
in studying my teammates are good at different things like a person is good at accounting which i can learn,0.0028078129254399944
