#sentence,gold score,actual score
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.75,0.37387305
these learning processes are something i have not experienced before,0.5,0.3655041
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.0,0.17810647
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,0.5,0.5052776
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.25,0.28458065
but there are still many personal problems that need to be addressed1,0.75,0.13786322
in the market technology department the teacher has taught us a lot of methods of market analysis,0.0,0.22050744
i need to pay more tension in my homework than before,0.75,0.2716362
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.5,0.57431406
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.5,0.55119246
he used the simple wordsand told me do not use any difficult words,0.0,0.25916538
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.75,0.47539616
negative behavior occurs for avariety of personal reasons,0.5,0.13723688
my study plan is also not very different from the schools overview,0.75,0.23073892
break down a difficult task into several parts to save time and then you can assign different roles,0.0,0.2901389
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.75,0.49836516
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.75,0.5443979
the site you give us should be an english language siteinsert your link below,0.0,0.20845193
for example there was a problem with the computer,0.0,0.13723841
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.25,0.30360898
language barrier,0.0,0.13722855
first i gained unity awareness because we need to discuss and achieve every task together,0.25,0.52470255
as a student i also aspire to be a distinction grade student,0.75,0.32672125
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.75,0.44940364
1 clear outline2,0.0,0.13722818
therefore we can get a better result,0.25,0.23549029
it means that the lecturers and the msc directors are working to improve the msc content,0.25,0.18741266
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.25,0.5195153
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.75,0.5556041
the structure of each lecture is really nice,0.5,0.23519889
this is the most different thing,0.0,0.1940437
for instance we recordedour promotional video about our business idea,0.0,0.13724287
and with my classmates who are from a different background including different age working experience nation and family,0.25,0.36238396
of course it surprised me,0.5,0.13723908
can cook well now8,0.0,0.13723043
firstly i often have one item on the list that is hanging over my head and just doesn  t seem like it will get taken care of,0.75,0.5312777
i can always provide creative ideas and help when they need5,0.5,0.3316906
i expected more interaction at masters level compared to bachelors,0.75,0.19697708
they were all unforgettable even though there were two man absent in the session and we met eacn other at the supervisor session,0.25,0.24997051
in terms of learning methods it is necessary to profoundly understand the goals and intentions of the course content setting of each course grasp the key points of the teachers class content and strictly exclude all external factors in the learning attitude and concentrate on the energy in a certain period of time,0.25,0.5438263
sometimes i dont understand my notes very well when i read them because i may not remember the example that the teacher said at that time,0.75,0.52852035
all of this can help me have a better life in the next year,0.5,0.38522792
yes the teaching style is my ideal style,0.75,0.26281622
tutors do not give you some simple contents rather than some model or strategies that you will need during homework so it is critical for our reports7,0.75,0.42248213
in china many teachers are boring and rigid in their lectures,0.5,0.13727441
i also read lots of documents and reports although it is tutor asked us to read,0.5,0.27638358
