#sentence,error
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.3283657074059209
these learning processes are something i have not experienced before,0.7565492914344963
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.004726562499999997
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,0.07178586866232249
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.47480712890625004
but there are still many personal problems that need to be addressed1,0.30250000000000005
in the market technology department the teacher has taught us a lot of methods of market analysis,0.0
i need to pay more tension in my homework than before,0.7224999999999999
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.36733371793958436
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.378994140625
he used the simple wordsand told me do not use any difficult words,0.0670977220819984
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.12711626140900562
negative behavior occurs for avariety of personal reasons,0.25
my study plan is also not very different from the schools overview,0.41945861816406255
break down a difficult task into several parts to save time and then you can assign different roles,0.37419982910156246
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.39641265569161005
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.1366287395055625
the site you give us should be an english language siteinsert your link below,0.3137750244140625
for example there was a problem with the computer,0.35439697265625003
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.11232971191406253
language barrier,0.25
first i gained unity awareness because we need to discuss and achieve every task together,0.13140623550000036
as a student i also aspire to be a distinction grade student,0.66015625
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.31640625
1 clear outline2,0.25
therefore we can get a better result,0.36470275275
it means that the lecturers and the msc directors are working to improve the msc content,0.33785156250000004
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.39013684010742256
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.7293072038265226
the structure of each lecture is really nice,0.25
this is the most different thing,0.2780914306640625
for instance we recordedour promotional video about our business idea,0.03753906249999999
and with my classmates who are from a different background including different age working experience nation and family,0.11076416015624997
of course it surprised me,0.5347265625
can cook well now8,0.3650954034765625
firstly i often have one item on the list that is hanging over my head and just doesn  t seem like it will get taken care of,0.16960623868252842
i can always provide creative ideas and help when they need5,0.765625
i expected more interaction at masters level compared to bachelors,0.66015625
they were all unforgettable even though there were two man absent in the session and we met eacn other at the supervisor session,0.157509765625
in terms of learning methods it is necessary to profoundly understand the goals and intentions of the course content setting of each course grasp the key points of the teachers class content and strictly exclude all external factors in the learning attitude and concentrate on the energy in a certain period of time,0.37419982910156246
sometimes i dont understand my notes very well when i read them because i may not remember the example that the teacher said at that time,0.41343054610592245
all of this can help me have a better life in the next year,0.6333506732222225
yes the teaching style is my ideal style,0.30250000000000005
tutors do not give you some simple contents rather than some model or strategies that you will need during homework so it is critical for our reports7,0.15723786494329003
in china many teachers are boring and rigid in their lectures,0.0625
