#sentence,error
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.56633916
these learning processes are something i have not experienced before,0.7113929999999999
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.06768048000000004
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,0.21040349999999997
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.620242775
but there are still many personal problems that need to be addressed1,0.541973643
in the market technology department the teacher has taught us a lot of methods of market analysis,0.02904035149999995
i need to pay more tension in my homework than before,0.70318215
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.51051852
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.49203058999999993
he used the simple wordsand told me do not use any difficult words,0.15724107499999995
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.264855325
negative behavior occurs for avariety of personal reasons,0.5169463365
my study plan is also not very different from the schools overview,0.59967138
break down a difficult task into several parts to save time and then you can assign different roles,0.596331825
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.5020327
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.2734518349999999
the site you give us should be an english language siteinsert your link below,0.552043088
for example there was a problem with the computer,0.56490317
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.19791136499999995
language barrier,0.516945575
first i gained unity awareness because we need to discuss and achieve every task together,0.224948225
as a student i also aspire to be a distinction grade student,0.68293405
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.45438935
1 clear outline2,0.51694606
therefore we can get a better result,0.57482799
it means that the lecturers and the msc directors are working to improve the msc content,0.56895131
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.48857875000000006
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.7292548249999999
the structure of each lecture is really nice,0.5223215035
this is the most different thing,0.53298781
for instance we recordedour promotional video about our business idea,0.20482641999999995
and with my classmates who are from a different background including different age working experience nation and family,0.33101192999999995
of course it surprised me,0.633039715
can cook well now8,0.56906152
firstly i often have one item on the list that is hanging over my head and just doesn  t seem like it will get taken care of,0.26010573000000003
i can always provide creative ideas and help when they need5,0.71711375
i expected more interaction at masters level compared to bachelors,0.67573975
they were all unforgettable even though there were two man absent in the session and we met eacn other at the supervisor session,0.366527245
in terms of learning methods it is necessary to profoundly understand the goals and intentions of the course content setting of each course grasp the key points of the teachers class content and strictly exclude all external factors in the learning attitude and concentrate on the energy in a certain period of time,0.62874241
sometimes i dont understand my notes very well when i read them because i may not remember the example that the teacher said at that time,0.5072676
all of this can help me have a better life in the next year,0.68304211
yes the teaching style is my ideal style,0.548198845
tutors do not give you some simple contents rather than some model or strategies that you will need during homework so it is critical for our reports7,0.36843107499999994
in china many teachers are boring and rigid in their lectures,0.22667202500000005
i also read lots of documents and reports although it is tutor asked us to read,0.2199898
for example some people want to adopt a strategy but other people want to adopt another strategy,0.050413264999999985
only in this way can improve the efficiency in teamwork,0.534393995
i heart from my classmates that some students are selfish and arrogant and refuse to cooperate with others these behaviors will hinder success,0.5344004
jin is a chinese student who worked for 5 years before come here,0.52645188
as i have to listen to many lectures given by teachers every weekday i found teachers use the presentation skills into the lectures skillfully,0.014664129999999997
absolutely yes but for mea chinese student the big problem is we used the totally different language before my only concern about the report and essay things like that i need to write in english im afraid of the grammar and so on,0.7505867500000001
i started my masters and start taking notes on diary then i realized that is not enough because in the uk masters system has report writing and assessments for which i need skills of ms word and i need to strong grip on ms word so i start making notes on ms word and start highlighting with red color so i keep in mind those points while reading slides and lectures and now because of this step in am progressing positively in making my assessment my methods and way of taking notes and organizingnote down things that the instructor says more than oncebe selective don  t take down every single note take down the main points of the lecture or discussionhandwritten notes work best for classes that have to do withon your computer make sure that you have one folder for your notes from each different classkeep all the lecture and slides of that subject in that folder of subjectkeep all the syllabic and handouts for each class in the same place as your notes so that they are easily accessiblebe consistent,0.20851130000000007
my supervision group is greateveryone has different skills which can help us successand i think communication is essential for success,0.4623712
from my point of view the most surprised and helpful part is the supervision group,0.31008811299999994
actually it is a small behaviour due to different reasons but i believe that late is unreasonable and not respect tutors and other students,0.7546379
the teaching and learning styles are very different with my previous studying,0.31013284500000005
i am organizing my notes to show levels of significance by marking the significant information according to its significance,0.44639863
itfeels good to be back to school after five years of working but it also feelsquite weird at the same time,0.10661180000000003
authoritarian could kill the creativity,0.54897453
learning strategieshow to reasonably arrange your study time and entertainment time is a big challenge4,0.296955973
the first thing is although i have studiedfor my premaster degree last year i can not stand some english habit whichmeans i can not complete get involved into uk culture,0.23184764999999996
i like the comfortable and relaxed atmosphere of induction,0.6888689100000001
the most important thing is to help me understand my classmates and make new friends,0.70514077
however this small aspect generally does not enter the entire group of seminars,0.545304315
it takes a lot of time for traveling,0.56251668
once we needed to perform a short drama in class i was surprised to find that their performances were both excellent and they did bring me lots of fun,0.238247215
international business is a novelty course for me,0.36789977500000004
now the varieties of homework are different which make the study interesting but i did the same type of homework in most courses before6,0.457738325
as amatter of fact students who get up at different times will have differentlearning time,0.63100499
compared with guest lecturers from outside the uni lectures were easy to understand in terms of the language for my standard,0.09813285000000005
weijia huang is creative and active,0.266945977
first of all you must have a good understanding of everyone on the team because this is the basis for cooperation with them,0.615143665
i only read something in the textbook before4,0.44449913500000005
i think the attitude and honesty are the most important factor of successful collaborative learning,0.7075840250000001
the lecturers care about students feeling and often ask students sitting behind to confirm if they can hear clearly or not,0.15843986
therefore i not only expect to graduate successfully but also expect to get higher scores,0.729613035
from a lecture to lecture basis the lectures have followed a sensible order where each lecture build on knowledge learned in the previous lectures,0.11876039999999999
however i found that the teaching style is totally different in uk,0.22101769000000004
this does not necessarily mean that each person should complete the same amount of work or same amount of ours,0.587243415
i hope that we can have some challenges in the future group work,0.7454457
law for engineering management is new for me as a course,0.617372885
however in this level i learned that we will have more group activities,0.5108922499999999
people needs to learn to adhere thatpeople can have a better achieve in goals and have better life what we want,0.652968285
tons of background knowledge i haveobserved and learned during the course,0.17789888500000006
teamwork need to convince everyone to target the common dedication,0.54473631
the whole day was thus disrupted,0.20179609499999995
i believein myself that i can do it,0.7270179
in future modules try to use teamwork as much as possible,0.568191715
i should spend a lot of time every day on homework research the expansion of additional knowledge and language skills improvement,0.699457675
if it is not a major principle problem i think it may be good to listen to others,0.742528735
however every time when i finished the dinner i just want to lie on my bed and play mobile phones or watch youtube videos instead of walking to my desk sit down and start learning,0.74127051
i always finish my notes and then put it aside,0.42810835
so far i am dealingwell with the work given by the different modules,0.4438447
i anticipate we may encounter some problems when we undertake proper group work in the future however as personalities can clash and relying on other people to get things done can sometimes be quite daunting,0.77688055
each one expressed their point of view,0.0169518085
