#sentence,gold score,actual score
you must be knowing blithe means adj happy cheerful,0.0,0.0015782639
old saying a smile shared is one gained for another day yeglifer scottmckeen,0.0,0.0016090143
bridget jones baby was bloody hilarious bridgetjonesbaby,0.0,0.40458983
elaminova sparkling water makes your life sparkly,0.0,0.0016315598
im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile,0.0,0.003723057
gbbo can cheer me up,0.0,0.0015910678
amp as much as i hate for a dude to cheat women forego pleasing their man they get lazy amp men get lazy amp then its just pointless,0.0,0.28227645
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 birthday,0.0,0.0016053114
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 happy birthday,0.0,0.0016079638
the race advances only by the extra achievements of the individual you are the individual charles townen optimism inspire,0.0,0.0015709233
the race advances only by the extra achievements of the individual you are the individual charles townen inspire,0.0,0.0016151909
watching football matches without commentary is something that i rejoice found a transmission of city ’ s match like that today joyful,0.0,0.0015934687
twd comes on soon happy,0.0,0.0015671644
twd comes on soon,0.0,0.001592787
taudeltaphidk thank you for my obama cut out i am elated that hes back home,0.0,0.0016308073
ddogsscout oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend,0.0,0.0016163811
gemma simmons is the bright spot of the premiere so far agentsofshield,0.0,0.0032863729
this is a beautiful day that the lord has made i will rejoice and be glad,0.0,0.0016096402
watch this amazing lively broadcast by kellipeterson lively musically come watch,0.0,0.0016214084
sometimes i like to talk about my sadness other times i just want to be distracted by friends laughter shopping eating nnmhchat,0.0,0.54658055
oi thewiggymess youve absolutely fucking killed me 30 mins later im still crying with laughter grindah grindah hahahahahahaha,0.0,0.0015909765
so happy i live in nyc see you tomorrow samheughan barbour,0.0,0.001618756
accept the challenges so that you may feel the exhilaration of victory,0.0,0.0015683435
for what a beautiful day elated,0.0,0.0015565995
for what a beautiful day,0.0,0.0016705543
langstonhunter yeah bro it eas hella exhilarating,0.0,0.0015742425
sometimes im sad then remember margaret thatcher is dead and then i rejoice,0.0,0.68144035
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any,0.0,0.21914539
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any optimism,0.0,0.002876943
apkrawczynski any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner optimism,0.0,0.0015593581
martin roth leaving vampa shoes the effects of brexit bright and talented foreigners made to feel unwelcome and leaving uk c4news,0.0,0.16069141
one thing i can say is that you kept me smiling,0.0,0.0015874822
blackish always has me rollin hilarious,0.0,0.010494238
blackish always has me rollin,0.0,0.04468564
how is your toddler coping with the new arrival has he tried killing her yet they cheerfully ask,0.0,0.25935116
american schools are lively,0.0,0.0015591197
drawing minicomics is joyful folding minicomics is meditative and relaxing i think i need to do them for more than just halloween,0.0,0.0016658846
malkarii korgoth of barbaria for brutality king julian for hilarity and ariel because hot,0.0,0.0015915018
i love those memories that randomly popninto my head have me smiling like annidiot for ages,0.0,0.087625
turtletitan2003 she laughed a bit of course it was aria shook her head calming her mirth so she could listen to mikey no actually,0.0,0.0016410109
ireneestry cant wait to see you hun cuddles gossip laughter,0.0,0.0015862826
ireneestry cant wait to see you hun cuddles gossip,0.0,0.0016029458
god hears your voice optimism at the moment that you think that everything has failed you,0.0,0.0016160104
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky happy,0.0,0.0016489942
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky,0.0,0.0054491814
love this laughing while crying works too katherinemansfield failure laughter dealingwithfailure,0.0,0.399839
love this laughing while crying works too katherinemansfield failure dealingwithfailure,0.0,0.39986843
