#sentence,gold score,actual score
you must be knowing blithe means adj happy cheerful,0.0,0.0031565279
old saying a smile shared is one gained for another day yeglifer scottmckeen,0.0,0.0032180287
bridget jones baby was bloody hilarious bridgetjonesbaby,0.0,0.0031796806
elaminova sparkling water makes your life sparkly,0.0,0.0032631196
im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile,0.0,0.007446114
gbbo can cheer me up,0.0,0.0031821355
amp as much as i hate for a dude to cheat women forego pleasing their man they get lazy amp men get lazy amp then its just pointless,0.0,0.0041007996
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 birthday,0.0,0.0032106228
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 happy birthday,0.0,0.0032159276
the race advances only by the extra achievements of the individual you are the individual charles townen optimism inspire,0.0,0.0031418465
the race advances only by the extra achievements of the individual you are the individual charles townen inspire,0.0,0.0032303818
watching football matches without commentary is something that i rejoice found a transmission of city ’ s match like that today joyful,0.0,0.0031869374
twd comes on soon happy,0.0,0.0031343289
twd comes on soon,0.0,0.003185574
taudeltaphidk thank you for my obama cut out i am elated that hes back home,0.0,0.0032616146
ddogsscout oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend,0.0,0.0032327622
gemma simmons is the bright spot of the premiere so far agentsofshield,0.0,0.0065727457
this is a beautiful day that the lord has made i will rejoice and be glad,0.0,0.0032192804
watch this amazing lively broadcast by kellipeterson lively musically come watch,0.0,0.0032428168
sometimes i like to talk about my sadness other times i just want to be distracted by friends laughter shopping eating nnmhchat,0.0,0.22916111
oi thewiggymess youve absolutely fucking killed me 30 mins later im still crying with laughter grindah grindah hahahahahahaha,0.0,0.003181953
so happy i live in nyc see you tomorrow samheughan barbour,0.0,0.003237512
accept the challenges so that you may feel the exhilaration of victory,0.0,0.003136687
for what a beautiful day elated,0.0,0.003113199
for what a beautiful day,0.0,0.0033411086
langstonhunter yeah bro it eas hella exhilarating,0.0,0.003148485
sometimes im sad then remember margaret thatcher is dead and then i rejoice,0.0,0.5188807
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any,0.0,0.43829077
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any optimism,0.0,0.005753886
apkrawczynski any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner optimism,0.0,0.0031187162
martin roth leaving vampa shoes the effects of brexit bright and talented foreigners made to feel unwelcome and leaving uk c4news,0.0,0.003382843
one thing i can say is that you kept me smiling,0.0,0.0031749643
blackish always has me rollin hilarious,0.0,0.020988476
blackish always has me rollin,0.0,0.08937128
how is your toddler coping with the new arrival has he tried killing her yet they cheerfully ask,0.0,0.0032023154
american schools are lively,0.0,0.0031182393
drawing minicomics is joyful folding minicomics is meditative and relaxing i think i need to do them for more than just halloween,0.0,0.0033317693
malkarii korgoth of barbaria for brutality king julian for hilarity and ariel because hot,0.0,0.0031830035
i love those memories that randomly popninto my head have me smiling like annidiot for ages,0.0,0.0032499842
turtletitan2003 she laughed a bit of course it was aria shook her head calming her mirth so she could listen to mikey no actually,0.0,0.0032820217
ireneestry cant wait to see you hun cuddles gossip laughter,0.0,0.0031725653
ireneestry cant wait to see you hun cuddles gossip,0.0,0.0032058917
god hears your voice optimism at the moment that you think that everything has failed you,0.0,0.003232021
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky happy,0.0,0.0032979883
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky,0.0,0.010898363
love this laughing while crying works too katherinemansfield failure laughter dealingwithfailure,0.0,0.0031780489
love this laughing while crying works too katherinemansfield failure dealingwithfailure,0.0,0.0032368787
they tend to loosen up a bit when drunk and can seem pretty cheerful,0.0,0.0031846426
god chirp this burp,0.0,0.0031485334
we so elated we celebrated like obama waited until his last day in office to tell the nation brothers is getting their reparations,0.0,0.0032384694
angel delight is my everything,0.0,0.0031350963
i just want to let everyone out there know you are wonderful people beyourself happy cheerful latenight compliment behappy,0.0,0.0032122992
i just want to let everyone out there know you are wonderful people beyourself latenight compliment behappy,0.0,0.0032177232
terribledebatequestions has given me so many laughs this afternoon thanks twitter hilarious cleverpeople,0.0,0.003225308
terribledebatequestions has given me so many laughs this afternoon thanks twitter cleverpeople,0.0,0.0032354407
paraplyene soupper i just read it and its so fun so lighthearted and cheerful i was right its a double cavity for me,0.0,0.0037003905
im at the point in my life that im playing christmas music in my room because i need winter and joyful times rn,0.0,0.40034297
luis ortiz ducked by ustinov which means fights off and he left goldenboyboxing future not looking to bright for ortiz boxing,0.0,0.11187826
another joyful encounter in tribez amp castlez i just met bartolomeo do you want to know who that is download the game and find out,0.0,0.0032541342
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao hilarious,0.0,0.0032717325
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao,0.0,0.0032660924
happy birthday brooke5656 cheer cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,0.0,0.003157463
the little sniffle at the end of the song gets me every time rejoice,0.0,0.0033442117
the little sniffle at the end of the song gets me every time,0.0,0.0032739006
