#sentence,error
you must be knowing blithe means adj happy cheerful,9.96366838347841e-06
old saying a smile shared is one gained for another day yeglifer scottmckeen,1.035570871402369e-05
bridget jones baby was bloody hilarious bridgetjonesbaby,1.011036871801636e-05
elaminova sparkling water makes your life sparkly,1.064794952390416e-05
im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile,5.5444613700996e-05
gbbo can cheer me up,1.0125986340360252e-05
amp as much as i hate for a dude to cheat women forego pleasing their man they get lazy amp men get lazy amp then its just pointless,1.681655735936016e-05
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 birthday,1.030809876387984e-05
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 happy birthday,1.034219032844176e-05
the race advances only by the extra achievements of the individual you are the individual charles townen optimism inspire,9.87119942956225e-06
the race advances only by the extra achievements of the individual you are the individual charles townen inspire,1.0435366573771239e-05
watching football matches without commentary is something that i rejoice found a transmission of city ’ s match like that today joyful,1.015656999151876e-05
twd comes on soon happy,9.82401765337521e-06
twd comes on soon,1.0147881709476e-05
taudeltaphidk thank you for my obama cut out i am elated that hes back home,1.0638129798933162e-05
ddogsscout oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend,1.0450751441748842e-05
gemma simmons is the bright spot of the premiere so far agentsofshield,4.3200986036868495e-05
this is a beautiful day that the lord has made i will rejoice and be glad,1.0363766293824158e-05
watch this amazing lively broadcast by kellipeterson lively musically come watch,1.0515860798362242e-05
sometimes i like to talk about my sadness other times i just want to be distracted by friends laughter shopping eating nnmhchat,0.0525148143364321
oi thewiggymess youve absolutely fucking killed me 30 mins later im still crying with laughter grindah grindah hahahahahahaha,1.0124824894209e-05
so happy i live in nyc see you tomorrow samheughan barbour,1.0481483950144e-05
accept the challenges so that you may feel the exhilaration of victory,9.838805335969e-06
for what a beautiful day elated,9.692008013601001e-06
for what a beautiful day,1.1163006676993959e-05
langstonhunter yeah bro it eas hella exhilarating,9.912957795225e-06
sometimes im sad then remember margaret thatcher is dead and then i rejoice,0.26923718083249
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any,0.1920987990671929
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any optimism,3.3107204100996e-05
apkrawczynski any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner optimism,9.726390736142441e-06
martin roth leaving vampa shoes the effects of brexit bright and talented foreigners made to feel unwelcome and leaving uk c4news,1.1443626762649e-05
one thing i can say is that you kept me smiling,1.0080398306274488e-05
blackish always has me rollin hilarious,0.00044051612480257594
blackish always has me rollin,0.0079872256888384
how is your toddler coping with the new arrival has he tried killing her yet they cheerfully ask,1.0254823921077159e-05
american schools are lively,9.723416332064491e-06
drawing minicomics is joyful folding minicomics is meditative and relaxing i think i need to do them for more than just halloween,1.1100686668422491e-05
malkarii korgoth of barbaria for brutality king julian for hilarity and ariel because hot,1.013151128101225e-05
i love those memories that randomly popninto my head have me smiling like annidiot for ages,1.056239730024964e-05
turtletitan2003 she laughed a bit of course it was aria shook her head calming her mirth so she could listen to mikey no actually,1.077166643927089e-05
ireneestry cant wait to see you hun cuddles gossip laughter,1.0065170582764091e-05
ireneestry cant wait to see you hun cuddles gossip,1.027774159212889e-05
god hears your voice optimism at the moment that you think that everything has failed you,1.0445959744440998e-05
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky happy,1.087672682693689e-05
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky,0.00011877431607976899
love this laughing while crying works too katherinemansfield failure laughter dealingwithfailure,1.009999481079121e-05
love this laughing while crying works too katherinemansfield failure dealingwithfailure,1.0477383718513691e-05
they tend to loosen up a bit when drunk and can seem pretty cheerful,1.014194848973476e-05
god chirp this burp,9.91326257091556e-06
we so elated we celebrated like obama waited until his last day in office to tell the nation brothers is getting their reparations,1.048768405473636e-05
angel delight is my everything,9.82882881027369e-06
i just want to let everyone out there know you are wonderful people beyourself happy cheerful latenight compliment behappy,1.031886615032064e-05
i just want to let everyone out there know you are wonderful people beyourself latenight compliment behappy,1.0353742591818241e-05
terribledebatequestions has given me so many laughs this afternoon thanks twitter hilarious cleverpeople,1.0402611694864001e-05
terribledebatequestions has given me so many laughs this afternoon thanks twitter cleverpeople,1.0468076523216488e-05
paraplyene soupper i just read it and its so fun so lighthearted and cheerful i was right its a double cavity for me,1.369288985249025e-05
im at the point in my life that im playing christmas music in my room because i need winter and joyful times rn,0.16027449362842092
luis ortiz ducked by ustinov which means fights off and he left goldenboyboxing future not looking to bright for ortiz boxing,0.012516745060627598
another joyful encounter in tribez amp castlez i just met bartolomeo do you want to know who that is download the game and find out,1.0589389391609641e-05
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao hilarious,1.0704233551556251e-05
carolyntopol ciara asks was it a scifi movie julie amp jen just stare claire on her phone joey bolts when the cab honks lmao,1.066735956533776e-05
happy birthday brooke5656 cheer cheerchick jeep jeepgirl idriveajeep jeepjeep cheer,9.969572596369e-06
the little sniffle at the end of the song gets me every time rejoice,1.1183751894416889e-05
the little sniffle at the end of the song gets me every time,1.071842513868036e-05
i mean is she supposed to seem joyous when shes talking rodrigo duterte isis the american economy etc think about what youre saying,1.103638761081481e-05
xenostateofmind yesnnmake her smile and be happynshe deserves happiness,1.0661981642360999e-05
keep smiling,9.681155950771361e-06
ever wake up and instantly feel happy,9.89762179356196e-06
