#sentence,error
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.55964629
these learning processes are something i have not experienced before,0.55298757
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.06661096
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,0.15287816499999995
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.55142305
but there are still many personal problems that need to be addressed1,0.533947285
in the market technology department the teacher has taught us a lot of methods of market analysis,0.05808070300000001
i need to pay more tension in my homework than before,0.556364285
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.4149564
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.36843618
he used the simple wordsand told me do not use any difficult words,0.05544987499999998
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.17317695
negative behavior occurs for avariety of personal reasons,0.5338926724999999
my study plan is also not very different from the schools overview,0.55168651
break down a difficult task into several parts to save time and then you can assign different roles,0.5809449
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.37445229999999996
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.177270425
the site you give us should be an english language siteinsert your link below,0.543929927
for example there was a problem with the computer,0.53449385
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.06066647000000003
language barrier,0.53389115
first i gained unity awareness because we need to discuss and achieve every task together,0.08739648
as a student i also aspire to be a distinction grade student,0.55336808
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.34627870000000005
1 clear outline2,0.53389212
therefore we can get a better result,0.54574974
it means that the lecturers and the msc directors are working to improve the msc content,0.556652615
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.35254815000000006
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.604514815
the structure of each lecture is really nice,0.544643007
this is the most different thing,0.538631875
for instance we recordedour promotional video about our business idea,0.21590283499999996
and with my classmates who are from a different background including different age working experience nation and family,0.329211355
of course it surprised me,0.53482943
can cook well now8,0.53389179
firstly i often have one item on the list that is hanging over my head and just doesn  t seem like it will get taken care of,0.10837867999999995
i can always provide creative ideas and help when they need5,0.559227485
i expected more interaction at masters level compared to bachelors,0.538979495
they were all unforgettable even though there were two man absent in the session and we met eacn other at the supervisor session,0.33617948499999994
in terms of learning methods it is necessary to profoundly understand the goals and intentions of the course content setting of each course grasp the key points of the teachers class content and strictly exclude all external factors in the learning attitude and concentrate on the energy in a certain period of time,0.645766065
sometimes i dont understand my notes very well when i read them because i may not remember the example that the teacher said at that time,0.37154953999999996
all of this can help me have a better life in the next year,0.57025089
yes the teaching style is my ideal style,0.54639769
tutors do not give you some simple contents rather than some model or strategies that you will need during homework so it is critical for our reports7,0.34032986499999995
in china many teachers are boring and rigid in their lectures,0.20334405
i also read lots of documents and reports although it is tutor asked us to read,0.06654210500000002
for example some people want to adopt a strategy but other people want to adopt another strategy,0.03832652999999997
only in this way can improve the efficiency in teamwork,0.56878799
i heart from my classmates that some students are selfish and arrogant and refuse to cooperate with others these behaviors will hinder success,0.40005079
jin is a chinese student who worked for 5 years before come here,0.55290376
as i have to listen to many lectures given by teachers every weekday i found teachers use the presentation skills into the lectures skillfully,0.14182826999999998
