#sentence,error
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.0031359342563445688
these learning processes are something i have not experienced before,0.003148343658670609
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.1276082217177849
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,0.0060720275917826565
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.003141180233490289
but there are still many personal problems that need to be addressed1,0.03762507277326723
in the market technology department the teacher has taught us a lot of methods of market analysis,0.00313737775129
i need to pay more tension in my homework than before,0.0031365432235225003
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.042554206722624104
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.0225483079016836
he used the simple wordsand told me do not use any difficult words,0.004841914964176901
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.005574093202022504
negative behavior occurs for avariety of personal reasons,0.0031351992511224995
my study plan is also not very different from the schools overview,0.003160450818744769
break down a difficult task into several parts to save time and then you can assign different roles,0.03759748456290127
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.008537735052018224
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.0009455809500900005
the site you give us should be an english language siteinsert your link below,0.003203273384011024
for example there was a problem with the computer,0.003136575146368225
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.003135090289983129
language barrier,0.003135067333355584
first i gained unity awareness because we need to discuss and achieve every task together,0.0031563957748760997
as a student i also aspire to be a distinction grade student,0.0068564510776161
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.0032162629669552356
1 clear outline2,0.00313445459044
therefore we can get a better result,0.0259982989024144
it means that the lecturers and the msc directors are working to improve the msc content,0.010892586327942917
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.0031505420994961003
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.0033280249899873687
the structure of each lecture is really nice,0.003140046968798884
this is the most different thing,0.03761549039891968
for instance we recordedour promotional video about our business idea,0.003136808020041796
and with my classmates who are from a different background including different age working experience nation and family,0.0031343963650624002
of course it surprised me,0.0031360097440075686
can cook well now8,0.003135729861817744
firstly i often have one item on the list that is hanging over my head and just doesn  t seem like it will get taken care of,0.0397077278532804
i can always provide creative ideas and help when they need5,0.004746926136243601
i expected more interaction at masters level compared to bachelors,0.0031352700264843237
they were all unforgettable even though there were two man absent in the session and we met eacn other at the supervisor session,0.0031354841492152357
in terms of learning methods it is necessary to profoundly understand the goals and intentions of the course content setting of each course grasp the key points of the teachers class content and strictly exclude all external factors in the learning attitude and concentrate on the energy in a certain period of time,0.3316134266404996
sometimes i dont understand my notes very well when i read them because i may not remember the example that the teacher said at that time,0.0031378926374748158
all of this can help me have a better life in the next year,0.0031375737974025
yes the teaching style is my ideal style,0.003135387725888089
tutors do not give you some simple contents rather than some model or strategies that you will need during homework so it is critical for our reports7,0.013267040557369601
in china many teachers are boring and rigid in their lectures,0.0031356496737843845
i also read lots of documents and reports although it is tutor asked us to read,0.003136850585668836
for example some people want to adopt a strategy but other people want to adopt another strategy,0.0031370153621742246
only in this way can improve the efficiency in teamwork,0.012599717894856225
i heart from my classmates that some students are selfish and arrogant and refuse to cooperate with others these behaviors will hinder success,0.03760146622545062
jin is a chinese student who worked for 5 years before come here,0.0031347602825449
as i have to listen to many lectures given by teachers every weekday i found teachers use the presentation skills into the lectures skillfully,0.0031653800121241
absolutely yes but for mea chinese student the big problem is we used the totally different language before my only concern about the report and essay things like that i need to write in english im afraid of the grammar and so on,0.05110303317604
i started my masters and start taking notes on diary then i realized that is not enough because in the uk masters system has report writing and assessments for which i need skills of ms word and i need to strong grip on ms word so i start making notes on ms word and start highlighting with red color so i keep in mind those points while reading slides and lectures and now because of this step in am progressing positively in making my assessment my methods and way of taking notes and organizingnote down things that the instructor says more than oncebe selective don  t take down every single note take down the main points of the lecture or discussionhandwritten notes work best for classes that have to do withon your computer make sure that you have one folder for your notes from each different classkeep all the lecture and slides of that subject in that folder of subjectkeep all the syllabic and handouts for each class in the same place as your notes so that they are easily accessiblebe consistent,0.20072716226822251
my supervision group is greateveryone has different skills which can help us successand i think communication is essential for success,0.19679289302090253
from my point of view the most surprised and helpful part is the supervision group,0.037612594436070894
actually it is a small behaviour due to different reasons but i believe that late is unreasonable and not respect tutors and other students,0.003146825838923776
the teaching and learning styles are very different with my previous studying,0.0376371523688209
i am organizing my notes to show levels of significance by marking the significant information according to its significance,0.003142086342227856
itfeels good to be back to school after five years of working but it also feelsquite weird at the same time,0.0031362284841616
authoritarian could kill the creativity,0.0031393810708324
learning strategieshow to reasonably arrange your study time and entertainment time is a big challenge4,0.003135348977790969
the first thing is although i have studiedfor my premaster degree last year i can not stand some english habit whichmeans i can not complete get involved into uk culture,0.005148152905396899
i like the comfortable and relaxed atmosphere of induction,0.0031356292909561004
the most important thing is to help me understand my classmates and make new friends,0.03761294546768719
however this small aspect generally does not enter the entire group of seminars,0.00315041973796
it takes a lot of time for traveling,0.003136026096054289
once we needed to perform a short drama in class i was surprised to find that their performances were both excellent and they did bring me lots of fun,0.0095786974074724
international business is a novelty course for me,0.0031356281710224
now the varieties of homework are different which make the study interesting but i did the same type of homework in most courses before6,0.00313762421025
as amatter of fact students who get up at different times will have differentlearning time,0.0031363729710888995
compared with guest lecturers from outside the uni lectures were easy to understand in terms of the language for my standard,0.0031472943749655037
weijia huang is creative and active,0.003135037321891216
first of all you must have a good understanding of everyone on the team because this is the basis for cooperation with them,0.19712756941813606
i only read something in the textbook before4,0.003136033152087616
i think the attitude and honesty are the most important factor of successful collaborative learning,0.1941218145015752
the lecturers care about students feeling and often ask students sitting behind to confirm if they can hear clearly or not,0.003138234461882809
therefore i not only expect to graduate successfully but also expect to get higher scores,0.0330984193806841
from a lecture to lecture basis the lectures have followed a sensible order where each lecture build on knowledge learned in the previous lectures,0.003135240014049796
however i found that the teaching style is totally different in uk,0.037629850451222496
this does not necessarily mean that each person should complete the same amount of work or same amount of ours,0.037631609908029225
i hope that we can have some challenges in the future group work,0.0060566294529225
law for engineering management is new for me as a course,0.003135316389258816
however in this level i learned that we will have more group activities,0.0031873544583556
people needs to learn to adhere thatpeople can have a better achieve in goals and have better life what we want,0.19696695661406402
tons of background knowledge i haveobserved and learned during the course,0.0031345072176889002
teamwork need to convince everyone to target the common dedication,0.037591014374664534
the whole day was thus disrupted,0.003136577274563716
i believein myself that i can do it,0.007897004220708099
in future modules try to use teamwork as much as possible,0.0038596199957056003
i should spend a lot of time every day on homework research the expansion of additional knowledge and language skills improvement,0.0031489025400968894
if it is not a major principle problem i think it may be good to listen to others,0.008551469342964026
however every time when i finished the dinner i just want to lie on my bed and play mobile phones or watch youtube videos instead of walking to my desk sit down and start learning,0.0031361881628224
i always finish my notes and then put it aside,0.0031357707401902094
so far i am dealingwell with the work given by the different modules,0.003136368154804369
i anticipate we may encounter some problems when we undertake proper group work in the future however as personalities can clash and relying on other people to get things done can sometimes be quite daunting,0.016741823856040002
each one expressed their point of view,0.003134900480393124
for example our supervisor will give us instructive suggestion about our programme works and career in the future the language central is open to public and this will facilitate our international students,0.0312960017336976
his lecture starts with general topicand objectives,0.003134754459698884
in my last degree i just had many practice to do but in york i have to write essays9,0.037636649902805616
my notes helped me to pin point my problems and videos helped me to solve my confusion,0.0031367347630336
at present i think my group members are very thoughtful and have strong executive ability,0.003285757342968676
in order to be more likely to succeed it is also important to ensure that more attention is given to subjects that are found difficult rather than spending all of ones time on those that one finds the easiest as this will mean that one will obtain a more wellrounded knowledge with which to complete assignments,0.10938259748415999
it is worth mentioning that all lectures are relevant for example recently most of classes are involved in how to perform in a presentation,0.03763194085345345
i think the difficult one to achieve is present and review theory evidence and interpretation honestly accurately objectively and without bias which from the raes statement of ethical principles,0.03727345711322251
because i learned many theories in my university i am not sure which situation is belongs to which theory,0.0031711091440104044
the main difference is that everyone in the group has strong characteristics nearly everyone has so many great strengths and good leadership,0.43165092632614915
the reasons are complicated but i think one of the primary causes might be the structure and method of teaching completely different from the previous degree that ive done already,0.048158442948102405
sometimes i need to search somewords in dictionary and find out the meaning of words,0.003139926380222116
its easy for me to getcaught up in the trouble of not having to start for example driving acomputer staring at a problem and still have no answer for half an hour,0.0376227575610617
the most helpful is the handbook i can know about what my majors assessment is and i also can know the teaching structure of the engineering management,0.0508886238069049
as to the learning style i think it is more selflearning things than learning things from the lectures,0.003137752820859904
the attributes of these courses mean that we need to read more articles,0.0041010844568841
then i will usein my job when i am going to face with similar problems,0.0031362012672292087
for example the thinker oftenindependent thinking has the ability to brainstorm a leader has the abilityto lead a team to victory,0.0376303509319936
however i also found some students would be distracted because of smartphone or something like that,0.0031515676723806252
i will pull out all stops,0.0031378346042388837
how do you stay focused,0.0032562202068899997
every lecture makes it easy for me to understand and the instructor will connect each point in a humorous way to make it easier for me to accept,0.022422663569160096
another way is to let them understand the responsibilityon their shoulder and how bad it is to fail their teammates,0.0031465286462813292
during my taught msc i should make sure to keep the knowledge and skills up to date,0.003140131359765625
i think confidence is the most important element to have when a presentation is given,0.03169797276017003
duringtwo months i am more close to the group members because of the group work,0.0031408854372216087
if some members have problems they can ask other member for help,0.003143085085274176
in the future study i promise that i will never do anything contrary to the rae ethical principles,0.005800252685172099
theyre not nerds,0.0031357840677171843
there are many things to do,0.0031418771510024995
i remember in my childhood there was a huge bridge in my hometown established by many engineering managers and workers but the materials and structure of the bridge didnt come up with national standards,0.004643005769556026
in studying my teammates are good at different things like a person is good at accounting which i can learn,0.0031442374022499996
so that i think there will be a competition or discussion when we need to choose a group leader,0.0060574139477721
teachers would interact with the classmates,0.003139404043248225
they are kindly to help us and tech us how to be better than before,0.0031544246629902246
now i have the confident that i can finish my report assignments with good writing skillsfourthly every question in the exam has the standard answer and seldom can we get the full mark unless our answer is the same as the standard answer,0.05850707124152251
its not too much which might waste some time and make students fell nervous,0.1944140178684025
of course i admit that these inductions give me plenty of help in study life as well as i really need some time to fit into british life,0.0031422216588035293
besides i do think the critical thinking is really important our student should be critical to the konwledge we have learnt and always do the independent thinking and studying,0.3444181222999608
knowledge points correspond to background questions,0.003134599260450064
but when i was trying to do some review simple keywords are not so efficient to revive my memories,0.0031526012728809003
basicallybecause his objectives sometimes are not clear when he starts his lecturehowever his lectures are not boring because he uses a lot of his skill ofhumor and he teaches us with examples,0.0031548565809721
i was very lucky to be one of the twothe seminar began at 9 amso we booked the flight at 7 ambefore the daybut i was so excited that i slept little that nightand the next morning i woke up late at around 6 oclockit needed 40 minute from my home to airportso i felt very nervousand run out from my home in a hurry,0.039807424343280405
i think it should be the characters of my teammates some of which are so positive and enthusiastic and it makes me feel more confident about our projects in the future,0.0038810731990276
the teacher will ask open questions to arouse students thinking,0.0031386000587041
the most helpful aspect is how to corporate with group members and how to be a leader to support the development of the group,0.1604720997342961
and this kind of evaluation system is very valuable for us to know where we should improve,0.1853653718538241
after receiving cooperative learning tasks team members do not talk or discuss with each other they work alone and do not really participate in the cooperationthis phenomenon often results in unsuccessful cooperationor we dont have enough time to prepare,0.015570562497843592
the lecture flew logically generally but it would be better if the lectuere can review the content of last class at the startsome of the lecturers are humourous such as bidyut and international businese lecturer sorry i do not his nameall lecturers are good in the respect of helping me move from one point to the next,0.0012644851521600017
ithink that in this case people need to learn from other culture,0.0031377378086841962
there were some discussions and a lot of interactions between speakers and audience,0.0031351734944644
first it should be my parents  support and trust,0.0031414010595292086
i think im very lucky with the team i got we are all from different countries from peru china and spain and i think that its going to help and teach us a lot from different cultures,0.03497062691892249
i think their proper eye contact is one of the most valuable things i can learn from them,0.003145625150172129
in the past usually four or more people share one room,0.0031350948813187243
i wonder if my skill is not strong enough to support me to take intact note but i gradually realized that some of my friends also couldnt do this thing very well,0.0574236583738756
actually i am worried that i can not integrate into the school life better and faster,0.007737024931329598
