#sentence,error
you must be knowing blithe means adj happy cheerful,2.49091693804321e-06
old saying a smile shared is one gained for another day yeglifer scottmckeen,2.58892701760449e-06
bridget jones baby was bloody hilarious bridgetjonesbaby,0.16369293053942888
elaminova sparkling water makes your life sparkly,2.66198738097604e-06
im tired of everybody telling me to chill out and everythings ok no the fuck its not im tired of faking a a fucking smile,1.3861153425249e-05
gbbo can cheer me up,2.53149674419684e-06
amp as much as i hate for a dude to cheat women forego pleasing their man they get lazy amp men get lazy amp then its just pointless,0.07967999422460251
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 birthday,2.57702469096996e-06
got7official jrjyp happy birthday jin young princejinyoungday happyjinyoungday got7 happy birthday,2.58554758211044e-06
the race advances only by the extra achievements of the individual you are the individual charles townen optimism inspire,2.46780001448289e-06
the race advances only by the extra achievements of the individual you are the individual charles townen inspire,2.6088416434428096e-06
watching football matches without commentary is something that i rejoice found a transmission of city ’ s match like that today joyful,2.53914249787969e-06
twd comes on soon happy,2.4560042566273597e-06
twd comes on soon,2.536970427369e-06
taudeltaphidk thank you for my obama cut out i am elated that hes back home,2.6595324497332904e-06
ddogsscout oh almost with odd cheerfulness big boss offers muzzle flash blinding accidental by the guy who became my best friend,2.6126878604372105e-06
gemma simmons is the bright spot of the premiere so far agentsofshield,1.080024683785441e-05
this is a beautiful day that the lord has made i will rejoice and be glad,2.5909415734560395e-06
watch this amazing lively broadcast by kellipeterson lively musically come watch,2.6289651995905605e-06
sometimes i like to talk about my sadness other times i just want to be distracted by friends laughter shopping eating nnmhchat,0.2987502976383026
oi thewiggymess youve absolutely fucking killed me 30 mins later im still crying with laughter grindah grindah hahahahahahaha,2.53120622355225e-06
so happy i live in nyc see you tomorrow samheughan barbour,2.620370987536e-06
accept the challenges so that you may feel the exhilaration of victory,2.45970133399225e-06
for what a beautiful day elated,2.4230020034002503e-06
for what a beautiful day,2.7907516692484898e-06
langstonhunter yeah bro it eas hella exhilarating,2.47823944880625e-06
sometimes im sad then remember margaret thatcher is dead and then i rejoice,0.46436095060812255
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any,0.0480247019582521
this is not me brown nosing but ive listened to lots of housing ministers but gavinbarwellmp nhf16 impressed me more than any optimism,8.276801025249e-06
apkrawczynski any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner optimism,2.4315976840356103e-06
martin roth leaving vampa shoes the effects of brexit bright and talented foreigners made to feel unwelcome and leaving uk c4news,0.0258217292477881
one thing i can say is that you kept me smiling,2.5200997353168397e-06
blackish always has me rollin hilarious,0.00011012903120064399
blackish always has me rollin,0.0019968064222096
how is your toddler coping with the new arrival has he tried killing her yet they cheerfully ask,0.06726302419334561
american schools are lively,2.4308542389280903e-06
drawing minicomics is joyful folding minicomics is meditative and relaxing i think i need to do them for more than just halloween,2.7751715005171603e-06
malkarii korgoth of barbaria for brutality king julian for hilarity and ariel because hot,2.53287797940324e-06
i love those memories that randomly popninto my head have me smiling like annidiot for ages,0.007678140624999999
turtletitan2003 she laughed a bit of course it was aria shook her head calming her mirth so she could listen to mikey no actually,2.6929167739188095e-06
ireneestry cant wait to see you hun cuddles gossip laughter,2.51629248706276e-06
ireneestry cant wait to see you hun cuddles gossip,2.56943523773764e-06
god hears your voice optimism at the moment that you think that everything has failed you,2.61148961290816e-06
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky happy,2.71918187163364e-06
my bf drove out of his way after a long day just to spend 15 min holding me to make me feel better howd i get so lucky lucky,2.969357793010596e-05
love this laughing while crying works too katherinemansfield failure laughter dealingwithfailure,0.159871225921
love this laughing while crying works too katherinemansfield failure dealingwithfailure,0.1598947613106649
they tend to loosen up a bit when drunk and can seem pretty cheerful,2.53548712243369e-06
god chirp this burp,2.47831564272889e-06
we so elated we celebrated like obama waited until his last day in office to tell the nation brothers is getting their reparations,2.62192101368409e-06
angel delight is my everything,2.45720704581361e-06
i just want to let everyone out there know you are wonderful people beyourself happy cheerful latenight compliment behappy,2.57971653758016e-06
