#sentence,error
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.03473337993303423
these learning processes are something i have not experienced before,0.0040490428777681005
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.004046971790882597
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,0.011492017952688905
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.034717357780143024
but there are still many personal problems that need to be addressed1,0.1904274607620025
in the market technology department the teacher has taught us a lot of methods of market analysis,0.0040486674571396
i need to pay more tension in my homework than before,0.004048360770492901
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.0001816656491556009
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.2550089513524921
he used the simple wordsand told me do not use any difficult words,0.006302948982160996
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.02921399849626089
negative behavior occurs for avariety of personal reasons,0.034738576093265625
my study plan is also not very different from the schools overview,0.0041760856005696
break down a difficult task into several parts to save time and then you can assign different roles,0.0040564995343290245
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.0034261378435683997
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.0668966514885769
the site you give us should be an english language siteinsert your link below,0.004054888193424016
for example there was a problem with the computer,0.004047153734155536
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.0043700376111876
language barrier,0.0040469801881744
first i gained unity awareness because we need to discuss and achieve every task together,0.0086521939148089
as a student i also aspire to be a distinction grade student,0.028555477346995595
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.05212264792482249
1 clear outline2,0.004046897487952899
therefore we can get a better result,0.0040484676641049
it means that the lecturers and the msc directors are working to improve the msc content,0.004050222702649599
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.0350980703401441
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.007009021656010002
the structure of each lecture is really nice,0.0347279810348025
this is the most different thing,0.004048652186160399
for instance we recordedour promotional video about our business idea,0.004047672358542399
and with my classmates who are from a different background including different age working experience nation and family,0.0040489219776996006
of course it surprised me,0.0040474229668095996
can cook well now8,0.004047241017484901
firstly i often have one item on the list that is hanging over my head and just doesn  t seem like it will get taken care of,0.025020931381603603
i can always provide creative ideas and help when they need5,0.004475064781605624
i expected more interaction at masters level compared to bachelors,0.0040612974954561
they were all unforgettable even though there were two man absent in the session and we met eacn other at the supervisor session,0.00405022779396
in terms of learning methods it is necessary to profoundly understand the goals and intentions of the course content setting of each course grasp the key points of the teachers class content and strictly exclude all external factors in the learning attitude and concentrate on the energy in a certain period of time,0.031110126639196895
sometimes i dont understand my notes very well when i read them because i may not remember the example that the teacher said at that time,0.0245471621641156
all of this can help me have a better life in the next year,0.034533034196035595
yes the teaching style is my ideal style,0.0049218348705241
tutors do not give you some simple contents rather than some model or strategies that you will need during homework so it is critical for our reports7,0.0016359403944976
in china many teachers are boring and rigid in their lectures,0.004047071286627216
i also read lots of documents and reports although it is tutor asked us to read,0.004055970282249999
for example some people want to adopt a strategy but other people want to adopt another strategy,0.0042492361074072255
only in this way can improve the efficiency in teamwork,0.033184313109984404
i heart from my classmates that some students are selfish and arrogant and refuse to cooperate with others these behaviors will hinder success,0.003806964040359999
jin is a chinese student who worked for 5 years before come here,0.004047431873524901
as i have to listen to many lectures given by teachers every weekday i found teachers use the presentation skills into the lectures skillfully,0.0866222551492281
absolutely yes but for mea chinese student the big problem is we used the totally different language before my only concern about the report and essay things like that i need to write in english im afraid of the grammar and so on,0.0018962366976400021
i started my masters and start taking notes on diary then i realized that is not enough because in the uk masters system has report writing and assessments for which i need skills of ms word and i need to strong grip on ms word so i start making notes on ms word and start highlighting with red color so i keep in mind those points while reading slides and lectures and now because of this step in am progressing positively in making my assessment my methods and way of taking notes and organizingnote down things that the instructor says more than oncebe selective don  t take down every single note take down the main points of the lecture or discussionhandwritten notes work best for classes that have to do withon your computer make sure that you have one folder for your notes from each different classkeep all the lecture and slides of that subject in that folder of subjectkeep all the syllabic and handouts for each class in the same place as your notes so that they are easily accessiblebe consistent,0.15507339940096002
my supervision group is greateveryone has different skills which can help us successand i think communication is essential for success,0.3069440219595841
from my point of view the most surprised and helpful part is the supervision group,0.034732330683854395
actually it is a small behaviour due to different reasons but i believe that late is unreasonable and not respect tutors and other students,0.02631062423025
the teaching and learning styles are very different with my previous studying,0.03473497116922562
i am organizing my notes to show levels of significance by marking the significant information according to its significance,0.03944651601556091
itfeels good to be back to school after five years of working but it also feelsquite weird at the same time,0.47109393440560887
authoritarian could kill the creativity,0.004047380341950625
learning strategieshow to reasonably arrange your study time and entertainment time is a big challenge4,0.1904263610861161
the first thing is although i have studiedfor my premaster degree last year i can not stand some english habit whichmeans i can not complete get involved into uk culture,0.0018198841320099981
i like the comfortable and relaxed atmosphere of induction,0.0041614317239056
the most important thing is to help me understand my classmates and make new friends,0.0037760004936888995
however this small aspect generally does not enter the entire group of seminars,0.0040504632705625
it takes a lot of time for traveling,0.0040473186317316005
once we needed to perform a short drama in class i was surprised to find that their performances were both excellent and they did bring me lots of fun,0.030750533378890006
international business is a novelty course for me,0.0040483913113809
now the varieties of homework are different which make the study interesting but i did the same type of homework in most courses before6,0.048538113188868894
as amatter of fact students who get up at different times will have differentlearning time,0.0040471341400681
compared with guest lecturers from outside the uni lectures were easy to understand in terms of the language for my standard,0.1891065419449924
weijia huang is creative and active,0.0040473020909281
first of all you must have a good understanding of everyone on the team because this is the basis for cooperation with them,0.0308082392780176
i only read something in the textbook before4,0.004048964610675626
i think the attitude and honesty are the most important factor of successful collaborative learning,0.06632725851382408
the lecturers care about students feeling and often ask students sitting behind to confirm if they can hear clearly or not,0.034737493217200904
therefore i not only expect to graduate successfully but also expect to get higher scores,0.09835530907224997
from a lecture to lecture basis the lectures have followed a sensible order where each lecture build on knowledge learned in the previous lectures,0.19042845920063686
however i found that the teaching style is totally different in uk,0.008275056946675598
this does not necessarily mean that each person should complete the same amount of work or same amount of ours,0.010771718535872098
i hope that we can have some challenges in the future group work,0.14463774978129001
law for engineering management is new for me as a course,0.0040474433250304
however in this level i learned that we will have more group activities,0.004052970693398916
people needs to learn to adhere thatpeople can have a better achieve in goals and have better life what we want,0.46264774357497956
tons of background knowledge i haveobserved and learned during the course,0.004047213534585797
teamwork need to convince everyone to target the common dedication,0.03473748725304212
the whole day was thus disrupted,0.0040469992729609
i believein myself that i can do it,0.46550144078075556
in future modules try to use teamwork as much as possible,0.004048005104884226
i should spend a lot of time every day on homework research the expansion of additional knowledge and language skills improvement,0.011800005450508902
if it is not a major principle problem i think it may be good to listen to others,4.6508308089996757e-07
however every time when i finished the dinner i just want to lie on my bed and play mobile phones or watch youtube videos instead of walking to my desk sit down and start learning,0.014125132340639997
i always finish my notes and then put it aside,0.0040476201892281
so far i am dealingwell with the work given by the different modules,0.1762067941322049
i anticipate we may encounter some problems when we undertake proper group work in the future however as personalities can clash and relying on other people to get things done can sometimes be quite daunting,0.0156952638149476
each one expressed their point of view,0.0040468898541289
for example our supervisor will give us instructive suggestion about our programme works and career in the future the language central is open to public and this will facilitate our international students,0.10769377678929
his lecture starts with general topicand objectives,0.004047280460697601
in my last degree i just had many practice to do but in york i have to write essays9,0.0009551474578115998
my notes helped me to pin point my problems and videos helped me to solve my confusion,0.0032552045593600004
at present i think my group members are very thoughtful and have strong executive ability,0.0845903661242929
in order to be more likely to succeed it is also important to ensure that more attention is given to subjects that are found difficult rather than spending all of ones time on those that one finds the easiest as this will mean that one will obtain a more wellrounded knowledge with which to complete assignments,0.016061065724707595
it is worth mentioning that all lectures are relevant for example recently most of classes are involved in how to perform in a presentation,0.04791410167041
