#sentence,gold score,actual score
although most chinese students are not willing to take the initiative to answer the teachers questions they still take notes and listen carefully,0.0,0.57303203
these learning processes are something i have not experienced before,0.0,0.86979842
a common technique used by lecturers is：1excellent opening remarks：the opening should attract students attention build trust with students create a positive atmosphere and establish a positive image of the lecturer2a valid conclusion：summarize the main points at the end,0.5,0.56875
but most of the time we take it seriouslyto my surprise although most of the class are chinese students like me we are very willing to communicate with classmates from other countries and get along well with each other,0.5,0.76792885
if every member wants to get a distinguished degree they can devote themselves to it wholeheartedly,0.0,0.6890625
but there are still many personal problems that need to be addressed1,0.0,0.55
in the market technology department the teacher has taught us a lot of methods of market analysis,0.5,0.5
i need to pay more tension in my homework than before,0.0,0.85
i am expected about the final project but i am not sure i can do well with it because this project needs everyone in my group to make effort together,0.25,0.85608062
now the feedbacks of lectures are very important and useful which can help me to understand the theories but i received the feedback rarely before7,0.25,0.865625
he used the simple wordsand told me do not use any difficult words,0.5,0.75903228
i was one of the rebellious teenagers and i started to studyindependently in a city far from my parents when i entered universitytherefore i have enough grades to apply for this university fortunatelyin real life we always haveto spend a lot of time to communicate in the weekends and prove our gregarioushowever too long communication activities have compressed our own learningtime,0.5,0.856533675
negative behavior occurs for avariety of personal reasons,0.0,0.5
my study plan is also not very different from the schools overview,0.0,0.64765625
break down a difficult task into several parts to save time and then you can assign different roles,0.0,0.61171875
theynever apply reductions in the marks for late deliveries3 commitment i feel that there is a lower sensation ofcommitment with the msc here in york from my classmates than my undergraduatescolleagues in my bachelors4 classrooms i have had some classes in theaterstyleclassrooms,0.25,0.8796131
thirdly sometimesi could not manage my time well it is really hard to achieve the worklifebalancefor example i need to go to the gym but i also need to do my homework i couldnot separate the time to both of them and finally i only can finish one thingthat would makes me lowproductive and makes me feel bad,0.5,0.86963325
the site you give us should be an english language siteinsert your link below,0.0,0.56015625
for example there was a problem with the computer,0.0,0.5953125
i learned how to use mind mapping and key points to take notes from 4weeks presessional programme,0.5,0.83515625
language barrier,0.0,0.5
first i gained unity awareness because we need to discuss and achieve every task together,0.5,0.8624999799999999
as a student i also aspire to be a distinction grade student,0.0,0.8125
i prefer the way to marking our assignments in uk very muchfifthly almost all the students in china can pass the exam and graduate,0.25,0.8125
1 clear outline2,0.0,0.5
therefore we can get a better result,0.0,0.603906245
it means that the lecturers and the msc directors are working to improve the msc content,0.0,0.58125
so after class i need spent more time to review the content and understand the content what the lecturers said during the classes,0.25,0.8746093500000001
i really need to take notes because i use to quickly forget things that i dont practice a lot,0.0,0.8539948500000001
the structure of each lecture is really nice,0.0,0.5
this is the most different thing,0.0,0.52734375
for instance we recordedour promotional video about our business idea,0.75,0.55625
and with my classmates who are from a different background including different age working experience nation and family,0.25,0.5828125
of course it surprised me,0.0,0.73125
can cook well now8,0.0,0.60423125
firstly i often have one item on the list that is hanging over my head and just doesn  t seem like it will get taken care of,0.5,0.91183278
i can always provide creative ideas and help when they need5,0.0,0.875
i expected more interaction at masters level compared to bachelors,0.0,0.8125
they were all unforgettable even though there were two man absent in the session and we met eacn other at the supervisor session,0.25,0.646875
in terms of learning methods it is necessary to profoundly understand the goals and intentions of the course content setting of each course grasp the key points of the teachers class content and strictly exclude all external factors in the learning attitude and concentrate on the energy in a certain period of time,0.0,0.61171875
sometimes i dont understand my notes very well when i read them because i may not remember the example that the teacher said at that time,0.25,0.89298565
all of this can help me have a better life in the next year,0.0,0.7958333200000001
yes the teaching style is my ideal style,0.0,0.55
tutors do not give you some simple contents rather than some model or strategies that you will need during homework so it is critical for our reports7,0.25,0.6465323000000001
in china many teachers are boring and rigid in their lectures,0.75,0.5
i also read lots of documents and reports although it is tutor asked us to read,0.5,0.8734375
for example some people want to adopt a strategy but other people want to adopt another strategy,0.5,0.5625
only in this way can improve the efficiency in teamwork,0.0,0.5
i heart from my classmates that some students are selfish and arrogant and refuse to cooperate with others these behaviors will hinder success,0.25,0.9187500200000001
jin is a chinese student who worked for 5 years before come here,0.0,0.5
as i have to listen to many lectures given by teachers every weekday i found teachers use the presentation skills into the lectures skillfully,0.75,0.8625
absolutely yes but for mea chinese student the big problem is we used the totally different language before my only concern about the report and essay things like that i need to write in english im afraid of the grammar and so on,0.0,0.84947917
i started my masters and start taking notes on diary then i realized that is not enough because in the uk masters system has report writing and assessments for which i need skills of ms word and i need to strong grip on ms word so i start making notes on ms word and start highlighting with red color so i keep in mind those points while reading slides and lectures and now because of this step in am progressing positively in making my assessment my methods and way of taking notes and organizingnote down things that the instructor says more than oncebe selective don  t take down every single note take down the main points of the lecture or discussionhandwritten notes work best for classes that have to do withon your computer make sure that you have one folder for your notes from each different classkeep all the lecture and slides of that subject in that folder of subjectkeep all the syllabic and handouts for each class in the same place as your notes so that they are easily accessiblebe consistent,1.0,0.8935688749999999
my supervision group is greateveryone has different skills which can help us successand i think communication is essential for success,0.25,0.8
from my point of view the most surprised and helpful part is the supervision group,0.25,0.55
actually it is a small behaviour due to different reasons but i believe that late is unreasonable and not respect tutors and other students,0.0,0.9125000249999999
the teaching and learning styles are very different with my previous studying,0.25,0.55
i am organizing my notes to show levels of significance by marking the significant information according to its significance,0.25,0.80625
itfeels good to be back to school after five years of working but it also feelsquite weird at the same time,0.5,0.63945313
authoritarian could kill the creativity,0.0,0.5625
learning strategieshow to reasonably arrange your study time and entertainment time is a big challenge4,0.25,0.544531252
the first thing is although i have studiedfor my premaster degree last year i can not stand some english habit whichmeans i can not complete get involved into uk culture,0.5,0.84828125
i like the comfortable and relaxed atmosphere of induction,0.0,0.8125
the most important thing is to help me understand my classmates and make new friends,0.0,0.80429688
however this small aspect generally does not enter the entire group of seminars,0.0,0.5453125
it takes a lot of time for traveling,0.0,0.58046875
once we needed to perform a short drama in class i was surprised to find that their performances were both excellent and they did bring me lots of fun,0.5,0.82171875
international business is a novelty course for me,0.25,0.7
now the varieties of homework are different which make the study interesting but i did the same type of homework in most courses before6,0.25,0.8373698
as amatter of fact students who get up at different times will have differentlearning time,0.0,0.706510425
compared with guest lecturers from outside the uni lectures were easy to understand in terms of the language for my standard,0.5,0.628125
weijia huang is creative and active,0.25,0.5
first of all you must have a good understanding of everyone on the team because this is the basis for cooperation with them,0.0,0.64609375
i only read something in the textbook before4,0.25,0.8477859
i think the attitude and honesty are the most important factor of successful collaborative learning,0.0,0.8
the lecturers care about students feeling and often ask students sitting behind to confirm if they can hear clearly or not,0.75,0.613108545
therefore i not only expect to graduate successfully but also expect to get higher scores,0.0,0.86015625
from a lecture to lecture basis the lectures have followed a sensible order where each lecture build on knowledge learned in the previous lectures,0.75,0.68281251
however i found that the teaching style is totally different in uk,0.5,0.890625
this does not necessarily mean that each person should complete the same amount of work or same amount of ours,0.0,0.6125
i hope that we can have some challenges in the future group work,0.0,0.90520835
law for engineering management is new for me as a course,0.0,0.7
however in this level i learned that we will have more group activities,0.25,0.9484375
people needs to learn to adhere thatpeople can have a better achieve in goals and have better life what we want,0.0,0.72102075
tons of background knowledge i haveobserved and learned during the course,0.5,0.8125
teamwork need to convince everyone to target the common dedication,0.0,0.54375
the whole day was thus disrupted,0.75,0.5625
i believein myself that i can do it,0.0,0.88958335
in future modules try to use teamwork as much as possible,0.0,0.5859375
i should spend a lot of time every day on homework research the expansion of additional knowledge and language skills improvement,0.0,0.8058594
if it is not a major principle problem i think it may be good to listen to others,0.0,0.89804688
however every time when i finished the dinner i just want to lie on my bed and play mobile phones or watch youtube videos instead of walking to my desk sit down and start learning,0.0,0.82994792
i always finish my notes and then put it aside,0.25,0.79791665
so far i am dealingwell with the work given by the different modules,0.25,0.8125
i anticipate we may encounter some problems when we undertake proper group work in the future however as personalities can clash and relying on other people to get things done can sometimes be quite daunting,0.0,0.9078125
each one expressed their point of view,0.5,0.5
for example our supervisor will give us instructive suggestion about our programme works and career in the future the language central is open to public and this will facilitate our international students,0.0,0.65234375
his lecture starts with general topicand objectives,0.25,0.53125
in my last degree i just had many practice to do but in york i have to write essays9,0.25,0.853125
my notes helped me to pin point my problems and videos helped me to solve my confusion,0.75,0.815625
at present i think my group members are very thoughtful and have strong executive ability,0.0,0.88046875
in order to be more likely to succeed it is also important to ensure that more attention is given to subjects that are found difficult rather than spending all of ones time on those that one finds the easiest as this will mean that one will obtain a more wellrounded knowledge with which to complete assignments,0.0,0.746875
it is worth mentioning that all lectures are relevant for example recently most of classes are involved in how to perform in a presentation,0.5,0.58125
i think the difficult one to achieve is present and review theory evidence and interpretation honestly accurately objectively and without bias which from the raes statement of ethical principles,0.0,0.88984375
because i learned many theories in my university i am not sure which situation is belongs to which theory,0.5,0.866666675
the main difference is that everyone in the group has strong characteristics nearly everyone has so many great strengths and good leadership,0.25,0.5921875
the reasons are complicated but i think one of the primary causes might be the structure and method of teaching completely different from the previous degree that ive done already,0.25,0.89375
sometimes i need to search somewords in dictionary and find out the meaning of words,0.5,0.8562500200000001
its easy for me to getcaught up in the trouble of not having to start for example driving acomputer staring at a problem and still have no answer for half an hour,0.75,0.683569015
the most helpful is the handbook i can know about what my majors assessment is and i also can know the teaching structure of the engineering management,0.0,0.8083333500000001
as to the learning style i think it is more selflearning things than learning things from the lectures,0.25,0.79375
the attributes of these courses mean that we need to read more articles,0.0,0.64140624
then i will usein my job when i am going to face with similar problems,0.0,0.92083335
for example the thinker oftenindependent thinking has the ability to brainstorm a leader has the abilityto lead a team to victory,0.0,0.5
however i also found some students would be distracted because of smartphone or something like that,0.75,0.8947916499999999
